dataset,extractor,clf,n_samples,n_classes,emb_dim,mean_accuracy,std_accuracy,mean_f1,std_f1,best_params,time_s
KTH-TIPS2,vit_b16,svm,4608,11,768,0.9997828447339849,0.0004343105320304019,0.9997805517273288,0.0004388965453422156,"{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale'}",6.5
KTH-TIPS2,vit_b16,knn,4608,11,768,0.9995656894679696,0.0005319195966955872,0.9995503929104617,0.0005509143234996294,"{'n_neighbors': 3, 'weights': 'distance'}",0.6
KTH-TIPS2,vit_b16,rf,4608,11,768,0.9963109512672494,0.0022332804518979074,0.9962030495317078,0.002278805611155949,"{'n_estimators': 300, 'max_depth': None}",27.7
KTH-TIPS2,swin_t,svm,4608,11,768,0.9997828447339849,0.0004343105320304019,0.9997805517273288,0.0004388965453422156,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",6.0
KTH-TIPS2,swin_t,knn,4608,11,768,0.9995659249942885,0.0005316312674747298,0.9995518134204959,0.0005491107146179393,"{'n_neighbors': 3, 'weights': 'distance'}",0.7
KTH-TIPS2,swin_t,rf,4608,11,768,0.999131849988577,0.00043407532519907353,0.999141632019481,0.00042963764834638664,"{'n_estimators': 300, 'max_depth': None}",27.3
KTH-TIPS2,deit_s,svm,4608,11,384,0.999131614462258,0.0008124577922228206,0.9991204665214338,0.0008222512274538995,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",3.5
KTH-TIPS2,deit_s,knn,4608,11,384,0.9984808552431691,0.0005317279857635123,0.9984437780074649,0.0005410659260643274,"{'n_neighbors': 3, 'weights': 'distance'}",0.3
KTH-TIPS2,deit_s,rf,4608,11,384,0.9950087262501148,0.0008675651519601906,0.9949487554474489,0.0008196992836354815,"{'n_estimators': 100, 'max_depth': None}",19.9
KTH-TIPS2,dinov2,svm,4608,11,768,0.9993487697282732,0.0005317274641370831,0.9993321457488185,0.0005455553558983802,"{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale'}",4.3
KTH-TIPS2,dinov2,knn,4608,11,768,0.9986977749828654,0.0008120804027004658,0.9986990611597724,0.0007921963469611307,"{'n_neighbors': 3, 'weights': 'distance'}",0.6
KTH-TIPS2,dinov2,rf,4608,11,768,0.9976127052317463,0.0008122699388998887,0.9975513910032952,0.0008103247879042348,"{'n_estimators': 100, 'max_depth': None}",23.1
KTH-TIPS2,dinov2_large,svm,4608,11,1024,0.9997828447339849,0.0004343105320304019,0.9997805517273288,0.0004388965453422156,"{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale'}",5.2
KTH-TIPS2,dinov2_large,knn,4608,11,1024,0.9993490052545922,0.0005315351577658962,0.9993404259747946,0.0005392336106178557,"{'n_neighbors': 5, 'weights': 'distance'}",0.7
KTH-TIPS2,dinov2_large,rf,4608,11,1024,0.9978300960240801,0.0009698316626522736,0.99777079420644,0.0010190848330749727,"{'n_estimators': 300, 'max_depth': 20}",26.9
KTH-TIPS2,resnet50,svm,4608,11,2048,0.9986975394565466,0.001063935498680628,0.9986732131669795,0.0010773471374180019,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",16.1
KTH-TIPS2,resnet50,knn,4608,11,2048,0.9967452617992798,0.002274624540605076,0.9966604822738336,0.002377540683076536,"{'n_neighbors': 3, 'weights': 'distance'}",1.6
KTH-TIPS2,resnet50,rf,4608,11,2048,0.9919706722627719,0.0034726620097751226,0.99170338916504,0.003619581635057428,"{'n_estimators': 300, 'max_depth': None}",20.1
KTH-TIPS2,convnext_v2_t,svm,4608,11,768,0.9995659249942885,0.0005316312674747298,0.9995518496118343,0.0005490648774389483,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",4.8
KTH-TIPS2,convnext_v2_t,knn,4608,11,768,0.9986982460355034,0.0012648082618532293,0.9986443924945666,0.0013237789195283212,"{'n_neighbors': 3, 'weights': 'distance'}",0.5
KTH-TIPS2,convnext_v2_t,rf,4608,11,768,0.9978296249714426,0.0020597438446867335,0.997805795239055,0.002094162530516943,"{'n_estimators': 300, 'max_depth': None}",23.6
KTH-TIPS2,efficientnet_b0,svm,4608,11,1280,0.9997828447339849,0.0004343105320304019,0.9997805517273288,0.0004388965453422156,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",10.1
KTH-TIPS2,efficientnet_b0,knn,4608,11,1280,0.9984808552431691,0.0005317279857635123,0.9984342345974987,0.0005734545935535629,"{'n_neighbors': 3, 'weights': 'distance'}",0.9
KTH-TIPS2,efficientnet_b0,rf,4608,11,1280,0.9956592499428849,0.0015358542854234279,0.9955599950952859,0.0015622315514437128,"{'n_estimators': 300, 'max_depth': 20}",32.0
KTH-TIPS2,lbp,svm,4608,11,54,0.8465708545601428,0.010491794389395903,0.8428363997031351,0.010724477109721292,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",3.9
KTH-TIPS2,lbp,knn,4608,11,54,0.8960537565270231,0.008288951105967026,0.8944868713313945,0.008612218625530032,"{'n_neighbors': 3, 'weights': 'distance'}",0.1
KTH-TIPS2,lbp,rf,4608,11,54,0.9246984674302429,0.006505068313570892,0.9241881909396257,0.006732174254277084,"{'n_estimators': 300, 'max_depth': 20}",9.7
KTH-TIPS2,glcm,svm,4608,11,18,0.42621337271333387,0.01019756492801893,0.3709863174607052,0.008591459872168777,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",4.8
KTH-TIPS2,glcm,knn,4608,11,18,0.6108900304064478,0.008243649302191784,0.6061622095421605,0.010576754365501062,"{'n_neighbors': 5, 'weights': 'distance'}",0.1
KTH-TIPS2,glcm,rf,4608,11,18,0.8048998895381565,0.011347547921027577,0.8024407017637651,0.01166956709284966,"{'n_estimators': 300, 'max_depth': 20}",7.1
KTH-TIPS2,gabor,svm,4608,11,48,0.6078526829980616,0.01554686676525112,0.5954441257056131,0.017943451554026914,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",4.2
KTH-TIPS2,gabor,knn,4608,11,48,0.8391932281472794,0.004655796377511616,0.840249348791678,0.004367601393986422,"{'n_neighbors': 3, 'weights': 'distance'}",0.1
KTH-TIPS2,gabor,rf,4608,11,48,0.8849826063813501,0.004703540232458078,0.8844997795128083,0.005130230714990724,"{'n_estimators': 300, 'max_depth': None}",8.8
KTH-TIPS2,hog,svm,4608,11,1764,0.7747400378255268,0.00851814347165916,0.7753557926997976,0.008471029816515794,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",57.0
KTH-TIPS2,hog,knn,4608,11,1764,0.5733466641229825,0.012231401977563469,0.5775804732080718,0.012501155384834227,"{'n_neighbors': 3, 'weights': 'distance'}",1.6
