dataset,extractor,clf,n_samples,n_classes,emb_dim,mean_accuracy,std_accuracy,mean_f1,std_f1,best_params,time_s
Soil,vit_b16,svm,1186,7,768,0.8819416374144595,0.0294038555494488,0.8161647548003058,0.047106150174580315,"{'kernel': 'linear', 'C': 1.0}",0.3
Soil,vit_b16,knn,1186,7,768,0.8431691664007375,0.010820381975012366,0.7664345548894372,0.025127617352050883,"{'n_neighbors': 5, 'weights': 'distance'}",0.0
Soil,vit_b16,rf,1186,7,768,0.8153387937453462,0.012439775712228028,0.6798338359502132,0.02962816675431315,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",1.0
Soil,vit_b16,resmlp,1186,7,768,0.9030280466617027,0.02251434800800941,0.8579160375065064,0.03725969231566937,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",2.1
Soil,swin_t,svm,1186,7,768,0.8920682196929406,0.013545660788042268,0.8148159964793651,0.02885563848582739,"{'kernel': 'linear', 'C': 1.0}",0.3
Soil,swin_t,knn,1186,7,768,0.847377938517179,0.011546835467581604,0.7696995520634589,0.02161143329767138,"{'n_neighbors': 5, 'weights': 'distance'}",0.0
Soil,swin_t,rf,1186,7,768,0.8136403928660073,0.013675792630791415,0.682685843710725,0.03128094904609738,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",1.0
Soil,swin_t,resmlp,1186,7,768,0.8928979186611354,0.015343017540044078,0.833222656893111,0.018832614589784125,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",1.6
Soil,deit_s,svm,1186,7,384,0.8456759919157536,0.022076550698348095,0.7691672903706805,0.04895373609023893,"{'kernel': 'linear', 'C': 1.0}",0.2
Soil,deit_s,knn,1186,7,384,0.8060454561571465,0.024335100502992906,0.7311326698808671,0.030925222175806136,"{'n_neighbors': 5, 'weights': 'distance'}",0.0
Soil,deit_s,rf,1186,7,384,0.7597028684891678,0.018397550256970603,0.6267230142789221,0.032641104219267005,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",0.9
Soil,deit_s,resmlp,1186,7,384,0.8600113463106762,0.015121390227834736,0.8057060291499758,0.02779878495878942,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",1.6
Soil,dinov2_small,svm,1186,7,384,0.868460802042336,0.012390305521026868,0.7879245663147308,0.016662076088977754,"{'kernel': 'linear', 'C': 1.0}",0.2
Soil,dinov2_small,knn,1186,7,384,0.8263057121582811,0.020226129003928554,0.7321737822381013,0.04061534146305904,"{'n_neighbors': 5, 'weights': 'distance'}",0.0
Soil,dinov2_small,rf,1186,7,384,0.833890011700883,0.015291205938637985,0.7052760987623589,0.03197429751515155,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",0.9
Soil,dinov2_small,resmlp,1186,7,384,0.8962769918093819,0.010977200543140157,0.8354552279565161,0.012051305067642851,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",1.9
Soil,dinov2,svm,1186,7,768,0.8693188667872211,0.009833882343355324,0.777962432152806,0.013741237090328083,"{'kernel': 'linear', 'C': 1.0}",0.3
Soil,dinov2,knn,1186,7,768,0.8313690032975215,0.013300071132628235,0.7548064217869853,0.01466632139425411,"{'n_neighbors': 5, 'weights': 'distance'}",0.0
Soil,dinov2,rf,1186,7,768,0.8254441016913093,0.01857037881454642,0.7005737861414024,0.03599586259007347,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",1.0
Soil,dinov2,resmlp,1186,7,768,0.891220792114314,0.015938943270028722,0.8221974432629754,0.02800951200908291,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",1.8
