dataset,extractor,clf,n_samples,n_classes,emb_dim,mean_accuracy,std_accuracy,mean_f1,std_f1,best_params,time_s
VisTex,vit_b16,svm,167,23,768,0.7429590017825312,0.053424217414915307,0.5967110290619063,0.052017918183017084,"{'kernel': 'linear', 'C': 1.0}",0.0
VisTex,vit_b16,knn,167,23,768,0.7729055258467025,0.042427987072411924,0.6816470047171801,0.05560478707969103,"{'n_neighbors': 5, 'weights': 'distance'}",0.0
VisTex,vit_b16,rf,167,23,768,0.7135472370766489,0.08684714426287411,0.6034975583221197,0.10531320710501199,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",0.6
VisTex,vit_b16,resmlp,167,23,768,0.8269162210338681,0.06224684687405043,0.7774867724867724,0.08154890481466183,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",1.1
VisTex,swin_t,svm,167,23,768,0.7912655971479501,0.07046839788910886,0.6603506850524395,0.08435784031753105,"{'kernel': 'linear', 'C': 1.0}",0.0
VisTex,swin_t,knn,167,23,768,0.7488413547237078,0.05077054401072993,0.6185445178603073,0.04192325267974435,"{'n_neighbors': 5, 'weights': 'distance'}",0.0
VisTex,swin_t,rf,167,23,768,0.8090909090909092,0.08403344368033101,0.7130849345586187,0.11661420170929654,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",0.6
VisTex,swin_t,resmlp,167,23,768,0.8625668449197861,0.04769861630155673,0.7952931402580525,0.07970818649467865,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",1.0
VisTex,deit_s,svm,167,23,384,0.7074866310160427,0.08013146883162664,0.5394358743920147,0.10456567263954059,"{'kernel': 'linear', 'C': 1.0}",0.0
VisTex,deit_s,knn,167,23,384,0.7488413547237076,0.07976583113009612,0.6242295620002387,0.10529762610488298,"{'n_neighbors': 5, 'weights': 'distance'}",0.0
VisTex,deit_s,rf,167,23,384,0.7017825311942959,0.09618007118098965,0.5746944105277438,0.1369032002731068,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",0.6
VisTex,deit_s,resmlp,167,23,384,0.8504456327985739,0.0656213626545847,0.7967496519075465,0.0944109726946769,"{'hidden_dim': 256, 'n_blocks': 3, 'dropout': 0.1, 'max_epochs': 100, 'patience': 10, 'batch_size': 256}",1.0
VisTex,dinov2_small,svm,167,23,384,0.7971479500891266,0.061267233403643664,0.6395857066909698,0.06691165486582833,"{'kernel': 'linear', 'C': 1.0}",0.0
