dataset,extractor,clf,n_samples,n_classes,emb_dim,mean_accuracy,std_accuracy,mean_f1,std_f1,best_params,time_s
ocular_toxoplasmosis,vit_b16,svm,412,3,768,0.7890096973258889,0.0589319735697479,0.7797482012762315,0.06108464265527644,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",0.2
ocular_toxoplasmosis,vit_b16,knn,412,3,768,0.7452248016456068,0.031966063168008284,0.737547374326637,0.03577662239597076,"{'n_neighbors': 3, 'weights': 'distance'}",0.1
ocular_toxoplasmosis,vit_b16,rf,412,3,768,0.7549221275345284,0.043659382233377966,0.7315718667442913,0.05020865132691095,"{'n_estimators': 100, 'max_depth': None}",4.5
ocular_toxoplasmosis,swin_t,svm,412,3,768,0.8349691448721716,0.04448567194691286,0.82223721221111,0.03870367693034646,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",0.2
ocular_toxoplasmosis,swin_t,knn,412,3,768,0.7644431384072877,0.03885174272704687,0.756655316287179,0.04396326993850291,"{'n_neighbors': 3, 'weights': 'distance'}",0.1
ocular_toxoplasmosis,swin_t,rf,412,3,768,0.7911548633558624,0.02445099338730463,0.7622385684431311,0.039780999018338224,"{'n_estimators': 100, 'max_depth': None}",4.5
ocular_toxoplasmosis,deit_s,svm,412,3,384,0.7985307081986482,0.04493299006117432,0.7844657786146387,0.04894305992959359,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",0.1
ocular_toxoplasmosis,deit_s,knn,412,3,384,0.716044666470761,0.017600521317876285,0.7110520526409583,0.018006185785137678,"{'n_neighbors': 3, 'weights': 'distance'}",0.0
ocular_toxoplasmosis,deit_s,rf,412,3,384,0.7547751983543932,0.034393732838376066,0.7247805371218092,0.039887337075708476,"{'n_estimators': 300, 'max_depth': None}",4.3
ocular_toxoplasmosis,dinov2,svm,412,3,768,0.8423156038789303,0.032904972773144026,0.8243002328698712,0.0339888712668658,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",0.1
ocular_toxoplasmosis,dinov2,knn,412,3,768,0.8082280340875698,0.030109427958095764,0.793318354985354,0.03962672810975373,"{'n_neighbors': 7, 'weights': 'distance'}",0.1
ocular_toxoplasmosis,dinov2,rf,412,3,768,0.8299735527475756,0.038724177065425254,0.8091748454585431,0.04799973442085777,"{'n_estimators': 300, 'max_depth': None}",4.5
ocular_toxoplasmosis,dinov2_large,svm,412,3,1024,0.8518953864237437,0.03209156640261516,0.8287140703625762,0.04520077873531189,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",0.2
ocular_toxoplasmosis,dinov2_large,knn,412,3,1024,0.7959741404642962,0.04358184006750669,0.7773596277109623,0.05103976800849478,"{'n_neighbors': 7, 'weights': 'distance'}",0.1
ocular_toxoplasmosis,dinov2_large,rf,412,3,1024,0.8105495151337054,0.032029428951184775,0.7920315940220869,0.039241732283837746,"{'n_estimators': 300, 'max_depth': None}",4.6
ocular_toxoplasmosis,resnet50,svm,412,3,2048,0.8009991184249191,0.04093190641921117,0.7907558021398282,0.042338482492586024,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",0.5
ocular_toxoplasmosis,resnet50,knn,412,3,2048,0.7621804290332059,0.051186010152276064,0.7521680397661956,0.04992721379843112,"{'n_neighbors': 3, 'weights': 'distance'}",0.1
ocular_toxoplasmosis,resnet50,rf,412,3,2048,0.7790478989127241,0.04331141278204178,0.7520056488993847,0.050152143088439,"{'n_estimators': 300, 'max_depth': None}",4.6
ocular_toxoplasmosis,convnext_v2_t,svm,412,3,768,0.8398471936526594,0.03679935107674592,0.8226190889611139,0.04181781220000824,"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",0.2
