dataset,clf,best_k,best_subset,best_dim,best_mean_f1,best_std_f1,k_at_saturation_1pct
DTD,svm,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.8620883044120241,0.0075927864572087,17
DTD,knn,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.8067249853458389,0.0031979787847706,16
DTD,rf,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.7762559216171343,0.0095877542522807,17
DTD,resmlp,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.8596992197062173,0.0056927437378103,16
FMD,svm,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.947980541298898,0.0131728451240501,17
FMD,knn,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.8909822073987472,0.0086084253828426,16
FMD,rf,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.8783194638457786,0.0118356942517579,17
FMD,resmlp,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.9360035676088898,0.0106484874999513,16
CUReT,svm,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.9998359630506772,0.0003280738986457,7
CUReT,knn,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.982669672016572,0.0027343581535829,11
CUReT,rf,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.9908168057893776,0.0031316374164405,9
CUReT,resmlp,16,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2,16300,0.9998359630506772,0.0003280738986457,6
Soil,svm,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.9037190997248088,0.0176202791353604,12
Soil,knn,11,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0,13228,0.8217606061328029,0.0266109775399633,10
Soil,rf,16,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2,16300,0.7727001237968819,0.0255375664124195,16
Soil,resmlp,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.8838667278682324,0.0178106207001327,12
VisTex,svm,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.8655098394133482,0.0486507568699967,17
VisTex,knn,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.6345932755168345,0.051820624243023,16
VisTex,rf,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.731654970760234,0.1232973941523813,17
VisTex,resmlp,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.8743107769423558,0.0744963362366937,17
