dataset,clf,f1_classical_only_k5,f1_+cnn_k11,f1_+vit_k14,f1_+dinov2_k17,delta_cnn,delta_vit,delta_dinov2
DTD,svm,0.2651047852429103,0.7973810120361697,0.8120804944164218,0.8620883044120241,0.5322762267932595,0.014699482380252094,0.05000780999560228
DTD,knn,0.2450081104719414,0.7478177947376821,0.7580366549792347,0.8067249853458389,0.5028096842657407,0.010218860241552608,0.04868833036660425
DTD,rf,0.314693184409078,0.7006586736556151,0.7099710468239798,0.7762559216171343,0.38596548924653706,0.009312373168364751,0.06628487479315448
DTD,resmlp,0.3408630416734929,0.7942675053018309,0.8091000332961077,0.8596992197062173,0.453404463628338,0.014832527994276812,0.05059918641010963
FMD,svm,0.3193465660769531,0.9078314853220212,0.9162263029851354,0.947980541298898,0.5884849192450681,0.008394817663114229,0.03175423831376256
FMD,knn,0.1977339842713366,0.8316832016695823,0.8513590018181425,0.8909822073987472,0.6339492173982457,0.019675800148560185,0.039623205580604726
FMD,rf,0.3768538230531326,0.8147857876735406,0.8420731359099145,0.8783194638457786,0.437931964620408,0.02728734823637391,0.03624632793586413
FMD,resmlp,0.2824367022124727,0.8852179512516363,0.9034238040531142,0.9360035676088898,0.6027812490391635,0.018205852801477906,0.03257976355577563
CUReT,svm,0.7890518314976056,0.998858740675698,0.9991830065737344,0.9998359630506772,0.20980690917809242,0.00032426589803635775,0.0006529564769428564
CUReT,knn,0.7457576098459443,0.9730429153402292,0.9763084938041836,0.982669672016572,0.22728530549428494,0.003265578463954366,0.006361178212388352
CUReT,rf,0.916181235451364,0.9861590647788973,0.9832526265920888,0.9908168057893776,0.06997782932753327,-0.0029064381868084688,0.007564179197288801
CUReT,resmlp,0.947130538764358,0.9990151616238024,0.9996719261013544,0.9998359630506772,0.051884622859444396,0.0006567644775519188,0.0001640369493228766
Soil,svm,0.3701809622443877,0.8852724412573985,0.8908909081723214,0.9037190997248088,0.5150914790130108,0.005618466914922959,0.012828191552487378
Soil,knn,0.408825677511157,0.8217606061328029,0.8078771121679594,0.8133639319672257,0.4129349286216459,-0.013883493964843452,0.00548681979926624
Soil,rf,0.5184987047128641,0.7406235358001536,0.761192411323474,0.7543113755154535,0.22212483108728953,0.02056887552332043,-0.006881035808020575
Soil,resmlp,0.4882621749266259,0.8647220149751224,0.8819864571720896,0.8838667278682324,0.3764598400484965,0.01726444219696721,0.0018802706961428273
VisTex,svm,0.1371597068298822,0.8409670008354219,0.8500322565673443,0.8655098394133482,0.7038072940055397,0.009065255731922406,0.015477582846003979
VisTex,knn,0.2955793524214577,0.6049569160997732,0.596075652093196,0.6345932755168345,0.3093775636783155,-0.008881264006577183,0.038517623423638514
VisTex,rf,0.431076732234627,0.6477123448351518,0.6729182214796249,0.731654970760234,0.21663561260052483,0.025205876644473046,0.058736749280609124
VisTex,resmlp,0.3860605216745568,0.8235078436832822,0.8186150561589158,0.8743107769423558,0.43744732200872544,-0.004892787524366393,0.055695720783439984
