dataset,clf,best_individual,best_individual_f1,best_concat_k,best_concat_subset,best_concat_dim,best_concat_f1,delta,t_stat,p_value,cohens_d,concat_better,significant_05,p_value_holm,significant_holm_05
DTD,svm,dinov2,0.8419999489268051,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.8620883044120241,0.020088355485219034,5.532284468170718,0.005216713052781464,2.474112828034484,True,True,0.0991175480028478,False
DTD,knn,dinov2,0.8029679400142475,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.8067249853458389,0.00375704533159138,0.6640693583014682,0.5429680906781745,0.29698084536387415,True,False,1.0,False
DTD,rf,dinov2_large,0.7793560291929074,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.7762559216171343,-0.003100107575773059,-0.4437330146595671,0.6801816455483802,-0.19844343691523783,False,False,1.0,False
DTD,resmlp,dinov2_large,0.8369724833863348,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.8596992197062173,0.022726736319882535,4.955546621996783,0.007730586403562977,2.2161878222747418,True,True,0.13915055526413359,False
FMD,svm,dinov2,0.9570619215520251,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.9479805412988981,-0.009081380253126992,-0.9345358818607375,0.402933753952844,-0.4179371518314304,False,False,1.0,False
FMD,knn,dinov2_small,0.8884188990793339,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.8909822073987472,0.0025633083194133155,0.24958815776469293,0.8151991686142493,0.1116192174232986,True,False,1.0,False
FMD,rf,dinov2_large,0.8918978099979086,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.8783194638457786,-0.013578346152129939,-1.5499813403066887,0.19607875437433514,-0.6931727281210117,False,False,1.0,False
FMD,resmlp,dinov2,0.9479806254222171,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.9360035676088898,-0.011977057813327252,-1.3200493732700116,0.2572919296466585,-0.5903440264284502,False,False,1.0,False
CUReT,svm,dinov2_large,0.9937884824023783,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.9998359630506771,0.006047480648298853,9.917477261182531,0.0005803211720043012,4.435230661009712,True,True,0.012186744612090324,True
CUReT,knn,densenet121,0.9708616521815534,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,17324,0.9826696720165721,0.011808019835018668,34.357875887920265,4.281513525151101e-06,15.36530918958386,True,True,0.00010275632460362641,True
