dataset,k,extractors,clf,dim,mean_accuracy,std_accuracy,mean_f1,std_f1,time_s
CUReT,1,lbp,svm,54,0.15786885245901638,0.005878826582636427,0.15186419354228192,0.009226531604705544,5.3
CUReT,1,lbp,knn,54,0.6740983606557377,0.014904515583843567,0.6774519910720878,0.013975571543622216,0.1
CUReT,1,lbp,rf,54,0.7777049180327869,0.007058704964462636,0.7809431334492919,0.0067271580140708265,2.8
CUReT,1,lbp,resmlp,54,0.7965573770491803,0.05273085306365986,0.7965298805534082,0.05121626272375502,11.8
CUReT,2,lbp + glcm,svm,72,0.20147540983606554,0.012261155377911578,0.17991776435972723,0.014095234912639459,5.5
CUReT,2,lbp + glcm,knn,72,0.7247540983606557,0.01392381466726954,0.7240967719187719,0.013795215601916547,0.1
CUReT,2,lbp + glcm,rf,72,0.8588524590163935,0.010817187991031872,0.859343204449957,0.01039917910454457,2.9
CUReT,2,lbp + glcm,resmlp,72,0.8681967213114754,0.03381741130210132,0.8684599092220875,0.03355936298828035,13.1
CUReT,3,lbp + glcm + gabor,svm,120,0.2760655737704918,0.01863668392278335,0.26909811047975074,0.016540930979947636,5.8
CUReT,3,lbp + glcm + gabor,knn,120,0.7496721311475409,0.016610044460970943,0.7503322948142868,0.01586391937575621,0.1
CUReT,3,lbp + glcm + gabor,rf,120,0.899672131147541,0.004961556049318536,0.8998515393373768,0.00491526977254129,3.4
CUReT,3,lbp + glcm + gabor,resmlp,120,0.8998360655737704,0.023133929960105926,0.8988743524475572,0.024126563194779252,11.2
CUReT,4,lbp + glcm + gabor + hog,svm,1884,0.7337704918032786,0.01229398902246078,0.7371113542467741,0.012671162283742793,46.3
CUReT,4,lbp + glcm + gabor + hog,knn,1884,0.7134426229508197,0.01578885131519279,0.7192753779660166,0.014555831595395073,1.3
CUReT,4,lbp + glcm + gabor + hog,rf,1884,0.9127868852459017,0.010832084286348726,0.91261179926432,0.010834715654975959,14.6
CUReT,4,lbp + glcm + gabor + hog,resmlp,1884,0.96,0.008894858994262646,0.959835958644427,0.009132765608676945,8.5
CUReT,5,lbp + glcm + gabor + hog + drlbp,svm,1964,0.7860655737704917,0.010874179640509499,0.7890518314976056,0.01053011267199152,45.4
CUReT,5,lbp + glcm + gabor + hog + drlbp,knn,1964,0.7411475409836066,0.011267436247501355,0.7457576098459443,0.011037521969758591,1.3
CUReT,5,lbp + glcm + gabor + hog + drlbp,rf,1964,0.9162295081967212,0.01091611266530261,0.9161812354513641,0.01075229471220938,15.1
