dataset,k,extractors,clf,dim,mean_accuracy,std_accuracy,mean_f1,std_f1,time_s
DTD,1,lbp,svm,54,0.12216312056737588,0.006278699010505593,0.10138315473059618,0.009817452746207824,3.7
DTD,1,lbp,knn,54,0.2590425531914894,0.012827373934529025,0.25458927462799,0.014022913941649904,0.1
DTD,1,lbp,rf,54,0.3294326241134752,0.01131977992873218,0.31512373766040874,0.01178603753049009,2.3
DTD,1,lbp,resmlp,54,0.37854609929078015,0.010216212972260951,0.37376869641134236,0.011650509893581325,16.7
DTD,2,lbp + glcm,svm,72,0.15638297872340426,0.007149590480019847,0.13280148712401335,0.009287815671480472,4.0
DTD,2,lbp + glcm,knn,72,0.2625886524822695,0.009830437074914258,0.25856225860470816,0.011546961440781362,0.1
DTD,2,lbp + glcm,rf,72,0.3425531914893617,0.011010052976070937,0.3274888802669355,0.011074451336844888,2.4
DTD,2,lbp + glcm,resmlp,72,0.375354609929078,0.008696984729383489,0.3720958201315887,0.0092714831554225,16.2
DTD,3,lbp + glcm + gabor,svm,120,0.1797872340425532,0.007613798068646768,0.15864925593686477,0.006049895595417447,4.6
DTD,3,lbp + glcm + gabor,knn,120,0.2537234042553192,0.012504714668443589,0.25175232111286194,0.014738900138470543,0.1
DTD,3,lbp + glcm + gabor,rf,120,0.36134751773049645,0.009223267236624078,0.346996271946713,0.00932175747706233,3.0
DTD,3,lbp + glcm + gabor,resmlp,120,0.39219858156028364,0.01348683706080612,0.3841011384758648,0.015933770749432617,15.9
DTD,4,lbp + glcm + gabor + hog,svm,1884,0.2611702127659575,0.005033712612261844,0.24766533185460776,0.0031470380399852347,49.1
DTD,4,lbp + glcm + gabor + hog,knn,1884,0.22854609929078018,0.009798405588402902,0.2285924428229321,0.008986869634941939,1.2
DTD,4,lbp + glcm + gabor + hog,rf,1884,0.31861702127659575,0.012619829538492368,0.30253133894134787,0.011958397993173267,14.1
DTD,4,lbp + glcm + gabor + hog,resmlp,1884,0.3331560283687943,0.009571184096642394,0.3263121770509791,0.009067795022770577,14.7
DTD,5,lbp + glcm + gabor + hog + drlbp,svm,1964,0.27588652482269505,0.006989504732066316,0.26510478524291037,0.00411312158334071,52.8
DTD,5,lbp + glcm + gabor + hog + drlbp,knn,1964,0.24432624113475176,0.014925245039528336,0.2450081104719414,0.013899435281545754,1.5
DTD,5,lbp + glcm + gabor + hog + drlbp,rf,1964,0.33191489361702126,0.00809800513948174,0.314693184409078,0.00975354776532125,16.3
DTD,5,lbp + glcm + gabor + hog + drlbp,resmlp,1964,0.3484042553191489,0.010029883421085779,0.3408630416734929,0.011122681605720153,15.6
DTD,6,lbp + glcm + gabor + hog + drlbp + vgg16,svm,6060,0.6789007092198581,0.010176131100909019,0.6767236741540776,0.00972099715115212,118.9
DTD,6,lbp + glcm + gabor + hog + drlbp + vgg16,knn,6060,0.6078014184397162,0.010793781032074035,0.6010694969081862,0.01282383275940405,4.0
DTD,6,lbp + glcm + gabor + hog + drlbp + vgg16,rf,6060,0.6152482269503545,0.018906064202221743,0.6059487006044703,0.018469363004151078,19.1
DTD,6,lbp + glcm + gabor + hog + drlbp + vgg16,resmlp,6060,0.6569148936170213,0.011129329664166836,0.6538004982116769,0.01274109458219294,10.1
DTD,7,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50,svm,8108,0.7565602836879431,0.0073661624389507125,0.7553358039111494,0.007215642987441868,162.9
DTD,7,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50,knn,8108,0.6955673758865248,0.007617925907425825,0.6904091683861491,0.007966178091322334,5.2
DTD,7,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50,rf,8108,0.6615248226950354,0.009355252452675844,0.6553174728191791,0.008957675643385453,24.7
DTD,7,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50,resmlp,8108,0.7296099290780143,0.01029285480404255,0.7293285521931079,0.007820982072358037,9.2
DTD,8,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101,svm,10156,0.7742907801418439,0.004643901011953487,0.7734758530913446,0.004825377761854429,2457.8
DTD,8,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101,knn,10156,0.7187943262411347,0.008801186982972239,0.7144571803808644,0.009551378344643617,6.3
DTD,8,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101,rf,10156,0.672340425531915,0.011471507886256605,0.6657153643698543,0.011361465379396462,30.0
DTD,8,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101,resmlp,10156,0.7680851063829787,0.00600223790064211,0.7675700313037865,0.004689870554355173,11.3
DTD,9,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121,svm,11180,0.7797872340425531,0.009051240438368949,0.7791547980043461,0.009744403358469395,2616.6
DTD,9,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121,knn,11180,0.7290780141843971,0.005002388645271606,0.724813313428502,0.006361093099787098,6.8
DTD,9,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121,rf,11180,0.6955673758865248,0.008039563155145153,0.691934889703737,0.008778453504572237,29.8
DTD,9,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121,resmlp,11180,0.771985815602837,0.008171431646668743,0.7704194019714137,0.006598094186902673,13.7
DTD,10,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t,svm,11948,0.8051418439716311,0.0071890549406784885,0.8046349165775887,0.007405762136518477,612.7
DTD,10,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t,knn,11948,0.7526595744680852,0.008918281092169716,0.748925157036969,0.009155594998777817,6.5
DTD,10,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t,rf,11948,0.7078014184397163,0.009051240438368933,0.7034053957268548,0.010096633366509672,30.8
DTD,10,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t,resmlp,11948,0.7945035460992906,0.0031914893617021357,0.7932329488050465,0.0026162874767999855,13.3
