dataset,k,extractors,clf,dim,mean_accuracy,std_accuracy,mean_f1,std_f1,time_s
FMD,1,lbp,svm,54,0.238,0.010295630140987,0.198025039196208,0.010739450608124075,0.1
FMD,1,lbp,knn,54,0.251,0.01240967364599086,0.24599829465600487,0.011674247243696272,0.0
FMD,1,lbp,rf,54,0.321,0.015297058540778351,0.31015888411303244,0.011252522265434422,0.6
FMD,1,lbp,resmlp,54,0.32999999999999996,0.03898717737923587,0.31567237862753883,0.034281911570154394,3.8
FMD,2,lbp + glcm,svm,72,0.244,0.0073484692283495405,0.21108440978863197,0.012825130666025317,0.1
FMD,2,lbp + glcm,knn,72,0.24799999999999994,0.02908607914449797,0.2436652165533184,0.030685140368722143,0.0
FMD,2,lbp + glcm,rf,72,0.339,0.03679673898594821,0.32749647132863424,0.03440568626148908,0.6
FMD,2,lbp + glcm,resmlp,72,0.328,0.027856776554368242,0.3137278402466788,0.026577298772141975,3.5
FMD,3,lbp + glcm + gabor,svm,120,0.24500000000000002,0.015165750888103114,0.21228561673200597,0.01252554904765822,0.1
FMD,3,lbp + glcm + gabor,knn,120,0.263,0.03627671429443411,0.2608935244113904,0.0335286498481547,0.0
FMD,3,lbp + glcm + gabor,rf,120,0.396,0.017720045146669347,0.3855878533960462,0.017451070772805315,0.7
FMD,3,lbp + glcm + gabor,resmlp,120,0.392,0.02657066051117285,0.3845831676441187,0.029002494547287344,3.7
FMD,4,lbp + glcm + gabor + hog,svm,1884,0.32700000000000007,0.024413111231467412,0.3116065895606227,0.0257650610299072,1.3
FMD,4,lbp + glcm + gabor + hog,knn,1884,0.21799999999999997,0.010770329614269008,0.1845837107410174,0.014447628341670269,0.1
FMD,4,lbp + glcm + gabor + hog,rf,1884,0.36099999999999993,0.04176122603564221,0.349271916951661,0.035902204567407676,1.3
FMD,4,lbp + glcm + gabor + hog,resmlp,1884,0.305,0.04289522117905442,0.29642493764185823,0.043226858607992934,3.3
FMD,5,lbp + glcm + gabor + hog + drlbp,svm,1964,0.33499999999999996,0.02213594362117865,0.3193465660769531,0.020531032564928445,1.3
