dataset,k,extractors,clf,dim,mean_accuracy,std_accuracy,mean_f1,std_f1,time_s
HVD_glaucoma,1,lbp,svm,54,0.6101164207960326,0.014222697857251259,0.41978914060681716,0.011508132538197062,0.2
HVD_glaucoma,1,lbp,knn,54,0.6522107342495692,0.014641758834087536,0.554152657407536,0.01158072455262338,0.0
HVD_glaucoma,1,lbp,rf,54,0.7014626150548481,0.029805130381647588,0.5834963437479014,0.033439807003349864,2.1
HVD_glaucoma,2,lbp + glcm,svm,72,0.6172403648131802,0.012143186107944754,0.42740096112907217,0.008428432224866557,0.2
HVD_glaucoma,2,lbp + glcm,knn,72,0.6580422813432522,0.015564154056694037,0.5619413333346529,0.008677056187501139,0.0
HVD_glaucoma,2,lbp + glcm,rf,72,0.6975728155339805,0.02765239136250354,0.5804342762217164,0.031814147913819604,2.1
HVD_glaucoma,3,lbp + glcm + gabor,svm,120,0.6444479468751313,0.016947216022578347,0.456492151139323,0.014876529166655243,0.2
HVD_glaucoma,3,lbp + glcm + gabor,knn,120,0.6554637918715589,0.02491041926194693,0.5590375421605155,0.029663061033185372,0.0
HVD_glaucoma,3,lbp + glcm + gabor,rf,120,0.7092190980540496,0.01927196674018049,0.6104607928290416,0.025599239843569457,2.2
HVD_glaucoma,4,lbp + glcm + gabor + hog,svm,1884,0.6878388601689573,0.018363531538305597,0.5113113298463356,0.01670888131244056,2.1
HVD_glaucoma,4,lbp + glcm + gabor + hog,knn,1884,0.6684213844408019,0.021830758752627164,0.5848633914644765,0.0306613720576615,0.1
HVD_glaucoma,4,lbp + glcm + gabor + hog,rf,1884,0.6910877148741227,0.030240289135797918,0.5516630603141793,0.029343788902863585,5.3
HVD_glaucoma,5,lbp + glcm + gabor + hog + drlbp,svm,1964,0.6904278569327114,0.01838988117540084,0.5156927350520791,0.02185444668307434,2.2
HVD_glaucoma,5,lbp + glcm + gabor + hog + drlbp,knn,1964,0.6684192829823898,0.02117314033674801,0.5844693968331276,0.02646249438502406,0.1
HVD_glaucoma,5,lbp + glcm + gabor + hog + drlbp,rf,1964,0.6904383642247719,0.01999844106391482,0.5525735131148659,0.023227795040309595,5.3
HVD_glaucoma,6,lbp + glcm + gabor + hog + drlbp + resnet50,svm,4012,0.7726873450174421,0.01606346947619561,0.6880444129710719,0.017890093555670596,6.5
HVD_glaucoma,6,lbp + glcm + gabor + hog + drlbp + resnet50,knn,4012,0.6988399949564998,0.015474201424775789,0.6196581477091686,0.021719499138071877,0.3
HVD_glaucoma,6,lbp + glcm + gabor + hog + drlbp + resnet50,rf,4012,0.7344891354600093,0.02633833405909816,0.6197534459799432,0.036758965846649554,6.1
HVD_glaucoma,7,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t,svm,4780,0.7947001218845879,0.014702290860329061,0.7205114110718819,0.012866322167249334,6.9
HVD_glaucoma,7,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t,knn,4780,0.7402996679695709,0.024876269389413397,0.671472660783502,0.028713203668409758,0.3
HVD_glaucoma,7,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t,rf,4780,0.7694468961459252,0.014141981999842564,0.6672965398443135,0.02073062718211443,6.3
HVD_glaucoma,8,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0,svm,6060,0.8083028621863573,0.0136299309568645,0.7394482810600977,0.006600952204999327,8.4
HVD_glaucoma,8,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0,knn,6060,0.7396440129449838,0.012579800469629001,0.67240579244752,0.015282522209737926,0.4
HVD_glaucoma,8,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0,rf,6060,0.7798238977850629,0.024683090008485925,0.6846508349933803,0.02980498948334558,7.0
HVD_glaucoma,9,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16,svm,6828,0.8206132055646618,0.018795596759810334,0.7610807400723291,0.01864691552160215,9.7
HVD_glaucoma,9,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16,knn,6828,0.7538919009792797,0.006883832486371731,0.6932630995903466,0.0061518539075674835,0.4
HVD_glaucoma,9,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16,rf,6828,0.7940633799857102,0.02003210819570647,0.7022291849607518,0.020398210322417502,7.7
HVD_glaucoma,10,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t,svm,7596,0.8257954020089944,0.01866086029899084,0.768819269047757,0.019849877822966863,10.6
HVD_glaucoma,10,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t,knn,7596,0.7817551380658176,0.01805860674585434,0.7206583734330566,0.02408603833720844,0.5
HVD_glaucoma,10,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t,rf,7596,0.7953515739923507,0.016891112250257103,0.703293396126157,0.025280816116289528,8.3
HVD_glaucoma,11,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s,svm,7980,0.8283801958559239,0.013279454083684498,0.776757054338011,0.009780814470279392,11.9
HVD_glaucoma,11,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s,knn,7980,0.7765645357878368,0.014028789894056697,0.7105097384064082,0.014601696743614145,0.5
HVD_glaucoma,11,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s,rf,7980,0.7934182322531838,0.019569972246138857,0.7035580168874523,0.030073853118567938,9.1
HVD_glaucoma,12,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2,svm,8748,0.8264426511999329,0.02671438570097233,0.772419286213976,0.028151332890225627,13.1
HVD_glaucoma,12,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2,knn,8748,0.7817635438994662,0.02178288711295727,0.720321500965723,0.027197824124527904,0.6
HVD_glaucoma,12,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2,rf,8748,0.795355776909175,0.017100038029473418,0.7070246806130143,0.018113180180638247,9.1
