dataset,k,extractors,clf,dim,mean_accuracy,std_accuracy,mean_f1,std_f1,time_s
KTH-TIPS2-b,1,lbp,svm,54,0.4943851742124588,0.02415658611274691,0.45978412196692287,0.024169123528818157,1.3
KTH-TIPS2-b,2,lbp + glcm,svm,72,0.5095355910301463,0.018542216537924327,0.4791394599440644,0.0196472962973598,1.3
KTH-TIPS2-b,3,lbp + glcm + gabor,svm,120,0.6301909166837386,0.023542918337119186,0.6216516363151546,0.020594750577982084,1.5
KTH-TIPS2-b,4,lbp + glcm + gabor + hog,svm,1884,0.7741253919977308,0.012667501852726073,0.7759021551440586,0.011972143447509914,14.2
KTH-TIPS2-b,5,lbp + glcm + gabor + hog + drlbp,svm,1964,0.8016211765447467,0.014110800393378005,0.8034631415745384,0.013643172362953926,14.6
KTH-TIPS2-b,6,lbp + glcm + gabor + hog + drlbp + vgg16,svm,6060,0.9882136722505003,0.00440706350753759,0.9882041896780944,0.004388692635202779,16.7
KTH-TIPS2-b,7,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50,svm,8108,0.9955099516207826,0.002721426789605825,0.9955163722922092,0.002719232405695696,22.4
KTH-TIPS2-b,8,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101,svm,10156,0.9985970814882519,0.0015363888626493375,0.9985989969049578,0.0015364166732398845,324.9
KTH-TIPS2-b,9,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121,svm,11180,0.9991580913059236,0.001122216878453583,0.9991606901650496,0.001119121175052025,545.3
KTH-TIPS2-b,10,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t,svm,11948,0.9991580913059236,0.001122216878453583,0.9991606901650496,0.001119121175052025,496.1
KTH-TIPS2-b,11,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0,svm,13228,0.9997191011235955,0.0005617977528090012,0.9997202631678045,0.000559473664391108,551.6
KTH-TIPS2-b,12,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16,svm,13996,0.9997191011235955,0.0005617977528090012,0.9997202631678045,0.000559473664391108,680.8
KTH-TIPS2-b,13,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t,svm,14764,0.9997191011235955,0.0005617977528090012,0.9997202631678045,0.000559473664391108,788.8
KTH-TIPS2-b,14,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s,svm,15148,0.9997191011235955,0.0005617977528090012,0.9997202631678045,0.000559473664391108,420.7
KTH-TIPS2-b,15,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small,svm,15532,0.9997191011235955,0.0005617977528090012,0.9997202631678045,0.000559473664391108,436.4
KTH-TIPS2-b,16,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2,svm,16300,0.9997191011235955,0.0005617977528090012,0.9997202631678045,0.000559473664391108,262.4
KTH-TIPS2-b,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,svm,17324,0.9997191011235955,0.0005617977528090012,0.9997202631678045,0.000559473664391108,341.2
