dataset,k,extractors,clf,dim,mean_accuracy,std_accuracy,mean_f1,std_f1,time_s
KTH-TIPS2,1,lbp,svm,54,0.5160598331060504,0.011748765590510074,0.4877252216252635,0.008910377785329656,7.9
KTH-TIPS2,1,lbp,knn,54,0.8845534774283351,0.010661001754318116,0.8822630036704855,0.011302383040378039,0.9
KTH-TIPS2,1,lbp,rf,54,0.9233962424131084,0.007419116878642932,0.922858397898494,0.007720141796562121,15.2
KTH-TIPS2,2,lbp + glcm,svm,72,0.5403626163205608,0.013274828307886762,0.514969088380689,0.011865598887981263,8.8
KTH-TIPS2,2,lbp + glcm,knn,72,0.9073361737807393,0.0072696065604512085,0.9055791773587242,0.007581905448320042,1.1
KTH-TIPS2,2,lbp + glcm,rf,72,0.9394506584138245,0.005824262635941325,0.9396791883448653,0.0059054629273658,15.0
KTH-TIPS2,3,lbp + glcm + gabor,svm,120,0.6475697216785489,0.00573552314499234,0.6268901116739845,0.006674259331784417,10.3
KTH-TIPS2,3,lbp + glcm + gabor,knn,120,0.9242648634771694,0.01221612622029269,0.9237502830978512,0.012569415670313068,1.6
KTH-TIPS2,3,lbp + glcm + gabor,rf,120,0.9605034139539924,0.0026222857684973584,0.9603436693873177,0.00292224559112907,17.1
KTH-TIPS2,4,lbp + glcm + gabor + hog,svm,1884,0.762586644244561,0.008331842071646731,0.7633208669720302,0.00796595154343667,170.9
KTH-TIPS2,4,lbp + glcm + gabor + hog,knn,1884,0.8144544857165064,0.005612070122558552,0.811379713226134,0.005536301349943668,5.6
KTH-TIPS2,4,lbp + glcm + gabor + hog,rf,1884,0.9223081108198435,0.006541261222182896,0.9217194058666941,0.006891778163387886,65.8
KTH-TIPS2,5,lbp + glcm + gabor + hog + drlbp,svm,1964,0.7858081261290543,0.009173602926159118,0.7855796098723752,0.009223144288380197,62.7
KTH-TIPS2,5,lbp + glcm + gabor + hog + drlbp,knn,1964,0.8266099990343421,0.010210219365208058,0.8239626885758484,0.009844332280954458,2.7
KTH-TIPS2,5,lbp + glcm + gabor + hog + drlbp,rf,1964,0.9361987465289309,0.005705511617831275,0.935586433741711,0.006116629178370611,37.8
KTH-TIPS2,6,lbp + glcm + gabor + hog + drlbp + resnet50,svm,4012,0.9911032288303054,0.001863058649449841,0.9908988821751056,0.001976991322725155,74.3
KTH-TIPS2,6,lbp + glcm + gabor + hog + drlbp + resnet50,knn,4012,0.9967454973255986,0.0022746244430546505,0.9966665607949959,0.002341837800043956,7.6
KTH-TIPS2,6,lbp + glcm + gabor + hog + drlbp + resnet50,rf,4012,0.9902350788188826,0.002272606009557755,0.9900857229855864,0.00223423765656091,58.6
KTH-TIPS2,7,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t,svm,4780,0.9995659249942885,0.0005316312674747298,0.9995518496118343,0.0005490648774389483,82.6
KTH-TIPS2,7,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t,knn,4780,0.9989149302488807,0.0013722935664480585,0.9988731151240934,0.001433993191371957,9.7
KTH-TIPS2,7,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t,rf,4780,0.9982636999771539,0.0011064480496100733,0.9982370159755618,0.001124502904860861,58.1
KTH-TIPS2,8,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0,svm,6060,0.9997828447339849,0.0004343105320304019,0.9997805517273288,0.0004388965453422156,49.6
KTH-TIPS2,8,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0,knn,6060,0.9993485342019544,0.001302931596091206,0.9993416551819866,0.0013166896360266023,4.2
