dataset,k,extractors,clf,dim,mean_accuracy,std_accuracy,mean_f1,std_f1,time_s
Soil,1,lbp,svm,54,0.35664291032868844,0.033182394205104764,0.18133340217951002,0.014765394875670211,0.1
Soil,1,lbp,knn,54,0.5008332446902811,0.015981431265422875,0.41107726965039637,0.02801371352336571,0.0
Soil,1,lbp,rf,54,0.6062050136510301,0.03678080868623962,0.4741802224552874,0.014439226163284354,0.7
Soil,1,lbp,resmlp,54,0.5893309222423146,0.03135785856449532,0.4776987164859138,0.010391219318573352,3.9
Soil,2,lbp + glcm,svm,72,0.37266957415877744,0.02577201555530732,0.18786075333773605,0.012344298304675911,0.1
Soil,2,lbp + glcm,knn,72,0.5277878239903556,0.023922105856178325,0.43355166869517203,0.0296745202625748,0.0
Soil,2,lbp + glcm,rf,72,0.621398432790838,0.021209037123176483,0.4941507360699241,0.008018080003363648,0.7
Soil,2,lbp + glcm,resmlp,72,0.6028897635003367,0.021446277689540286,0.5179740300830779,0.03503713882826089,3.8
Soil,3,lbp + glcm + gabor,svm,120,0.5538985214338898,0.05070572809074454,0.3479157241790348,0.03018230233198812,0.2
Soil,3,lbp + glcm + gabor,knn,120,0.6272843314541007,0.02307430402636543,0.5007447521459418,0.024113988049197864,0.0
Soil,3,lbp + glcm + gabor,rf,120,0.689685494450945,0.01744577998014616,0.5723094331344916,0.01931932241819373,0.7
Soil,3,lbp + glcm + gabor,resmlp,120,0.6728184944864022,0.04012894683658148,0.5611738833264523,0.036949122740447524,3.7
Soil,4,lbp + glcm + gabor + hog,svm,1884,0.5598021487075844,0.03967267610418457,0.36160404271466595,0.029295120356984106,1.4
Soil,4,lbp + glcm + gabor + hog,knn,1884,0.49323476225933416,0.02923365526857449,0.4136209502520433,0.03468547639611034,0.1
Soil,4,lbp + glcm + gabor + hog,rf,1884,0.654249547920434,0.032358512302922686,0.5029978044516634,0.01917791166647483,1.4
Soil,4,lbp + glcm + gabor + hog,resmlp,1884,0.6112895791227884,0.01948053919096624,0.5048997497195995,0.030973326526271085,3.5
