dataset,k,extractors,clf,dim,mean_accuracy,std_accuracy,mean_f1,std_f1,time_s
VisTex,1,lbp,svm,54,0.20392156862745098,0.036580562988160724,0.04780130678602665,0.00995446698262927,0.0
VisTex,1,lbp,knn,54,0.5155080213903743,0.04112435065182968,0.43040893901420213,0.03589195928643527,0.0
VisTex,1,lbp,rf,54,0.5937611408199642,0.0711861816628352,0.4836385407964355,0.0709723854542429,0.5
VisTex,1,lbp,resmlp,54,0.5816399286987523,0.08287830817159104,0.47360774229947167,0.11112756766252692,1.1
VisTex,2,lbp + glcm,svm,72,0.20392156862745098,0.036580562988160724,0.04780130678602665,0.00995446698262927,0.0
VisTex,2,lbp + glcm,knn,72,0.5274509803921569,0.05310746494595093,0.4340218403150734,0.03604504696066138,0.0
VisTex,2,lbp + glcm,rf,72,0.6351158645276291,0.048225952380690704,0.5211187227327578,0.04847618171512237,0.5
VisTex,2,lbp + glcm,resmlp,72,0.6240641711229946,0.09179672214739609,0.5151777676514518,0.12315501660709093,1.1
VisTex,3,lbp + glcm + gabor,svm,120,0.20392156862745098,0.036580562988160724,0.049895138084159026,0.011267013813160252,0.0
VisTex,3,lbp + glcm + gabor,knn,120,0.5632798573975044,0.03511631694379973,0.45438559059987627,0.06820017695959261,0.0
VisTex,3,lbp + glcm + gabor,rf,120,0.6536541889483065,0.07227411158431817,0.5337224542838578,0.07375131895006157,0.5
VisTex,3,lbp + glcm + gabor,resmlp,120,0.6117647058823529,0.08945856167172099,0.48894120221187887,0.08172791670929999,1.0
VisTex,4,lbp + glcm + gabor + hog,svm,1884,0.2638146167557932,0.03740768168149639,0.11512515619533163,0.030069666685036116,0.1
VisTex,4,lbp + glcm + gabor + hog,knn,1884,0.40802139037433155,0.10490071133911988,0.2993986228196755,0.0842871318216417,0.0
VisTex,4,lbp + glcm + gabor + hog,rf,1884,0.5693404634581105,0.05068911967822096,0.4249581951511777,0.05041472786939461,0.6
VisTex,4,lbp + glcm + gabor + hog,resmlp,1884,0.5037433155080213,0.0848125270202638,0.39181236761938515,0.09112977349716041,1.1
VisTex,5,lbp + glcm + gabor + hog + drlbp,svm,1964,0.28752228163992866,0.0314231483057687,0.13715970682988227,0.027829766842504114,0.1
VisTex,5,lbp + glcm + gabor + hog + drlbp,knn,1964,0.42531194295900177,0.0757175106386814,0.2955793524214577,0.045448299432716485,0.0
VisTex,5,lbp + glcm + gabor + hog + drlbp,rf,1964,0.5761140819964349,0.09288099399365622,0.431076732234627,0.09034524941052835,0.6
