dataset,k,extractors,clf,dim,mean_accuracy,std_accuracy,mean_f1,std_f1,time_s
ocular_toxoplasmosis,1,lbp,svm,54,0.45636203349985305,0.008637636471759679,0.2088888888888889,0.002721655269759077,0.0
ocular_toxoplasmosis,1,lbp,knn,54,0.6576843961210697,0.029900344470212663,0.6288264077642916,0.04916553763446278,0.0
ocular_toxoplasmosis,1,lbp,rf,54,0.7328827505142521,0.04416125103984209,0.7094403714352209,0.06399402848275218,1.6
ocular_toxoplasmosis,2,lbp + glcm,svm,72,0.45636203349985305,0.008637636471759679,0.2088888888888889,0.002721655269759077,0.0
ocular_toxoplasmosis,2,lbp + glcm,knn,72,0.6746694093446959,0.048844917071941774,0.6497240807931632,0.07303085851699795,0.0
ocular_toxoplasmosis,2,lbp + glcm,rf,72,0.7474875110196884,0.028898037722998003,0.7310436765023846,0.040412442070492265,1.6
ocular_toxoplasmosis,3,lbp + glcm + gabor,svm,120,0.45636203349985305,0.008637636471759679,0.2088888888888889,0.002721655269759077,0.0
ocular_toxoplasmosis,3,lbp + glcm + gabor,knn,120,0.6868057596238614,0.019151946694169256,0.6759820688259536,0.02032713205808872,0.0
ocular_toxoplasmosis,3,lbp + glcm + gabor,rf,120,0.7548927416985014,0.01879439598155715,0.7451412325059068,0.02737264434271798,1.6
ocular_toxoplasmosis,4,lbp + glcm + gabor + hog,svm,1884,0.669703203056127,0.038777280213901526,0.5709207861841985,0.03827709997166398,0.2
ocular_toxoplasmosis,4,lbp + glcm + gabor + hog,knn,1884,0.6505436379665002,0.04240515632579117,0.6176569233493991,0.05686568463948901,0.0
ocular_toxoplasmosis,4,lbp + glcm + gabor + hog,rf,1884,0.7523655598001764,0.047576621425201075,0.7226670862032302,0.06355517815602435,1.8
ocular_toxoplasmosis,5,lbp + glcm + gabor + hog + drlbp,svm,1964,0.6721422274463709,0.04058561634058423,0.5887397129662068,0.03765441003082828,0.2
ocular_toxoplasmosis,5,lbp + glcm + gabor + hog + drlbp,knn,1964,0.6602703496914486,0.06156598446982078,0.6406948654010447,0.07774513969534515,0.0
ocular_toxoplasmosis,5,lbp + glcm + gabor + hog + drlbp,rf,1964,0.7524537173082575,0.05627701397397663,0.7271576967732877,0.07789990583210123,1.8
ocular_toxoplasmosis,6,lbp + glcm + gabor + hog + drlbp + resnet50,svm,4012,0.7911548633558624,0.04630928061889131,0.7627445547758614,0.05393432671374924,0.4
ocular_toxoplasmosis,6,lbp + glcm + gabor + hog + drlbp + resnet50,knn,4012,0.7500146929180135,0.03218407810653562,0.7340759324582921,0.04271596370117667,0.1
