dataset,k,extractors,clf,dim,mean_accuracy,std_accuracy,mean_f1,std_f1,time_s
DTD,1,lbp,svm,54,0.1221631205673758,0.0062786990105055,0.1013831547305961,0.0098174527462078,3.7
DTD,1,lbp,knn,54,0.2590425531914894,0.012827373934529,0.25458927462799,0.0140229139416499,0.1
DTD,1,lbp,rf,54,0.3294326241134752,0.0113197799287321,0.3151237376604087,0.01178603753049,2.3
DTD,1,lbp,resmlp,54,0.3785460992907801,0.0102162129722609,0.3737686964113423,0.0116505098935813,16.7
DTD,2,lbp + glcm,svm,72,0.1563829787234042,0.0071495904800198,0.1328014871240133,0.0092878156714804,4.0
DTD,2,lbp + glcm,knn,72,0.2625886524822695,0.0098304370749142,0.2585622586047081,0.0115469614407813,0.1
DTD,2,lbp + glcm,rf,72,0.3425531914893617,0.0110100529760709,0.3274888802669355,0.0110744513368448,2.4
DTD,2,lbp + glcm,resmlp,72,0.375354609929078,0.0086969847293834,0.3720958201315887,0.0092714831554225,16.2
DTD,3,lbp + glcm + gabor,svm,120,0.1797872340425532,0.0076137980686467,0.1586492559368647,0.0060498955954174,4.6
DTD,3,lbp + glcm + gabor,knn,120,0.2537234042553192,0.0125047146684435,0.2517523211128619,0.0147389001384705,0.1
DTD,3,lbp + glcm + gabor,rf,120,0.3613475177304964,0.009223267236624,0.346996271946713,0.0093217574770623,3.0
DTD,3,lbp + glcm + gabor,resmlp,120,0.3921985815602836,0.0134868370608061,0.3841011384758648,0.0159337707494326,15.9
DTD,4,lbp + glcm + gabor + hog,svm,1884,0.2611702127659575,0.0050337126122618,0.2476653318546077,0.0031470380399852,49.1
DTD,4,lbp + glcm + gabor + hog,knn,1884,0.2285460992907801,0.0097984055884029,0.2285924428229321,0.0089868696349419,1.2
DTD,4,lbp + glcm + gabor + hog,rf,1884,0.3186170212765957,0.0126198295384923,0.3025313389413478,0.0119583979931732,14.1
DTD,4,lbp + glcm + gabor + hog,resmlp,1884,0.3331560283687943,0.0095711840966423,0.3263121770509791,0.0090677950227705,14.7
DTD,5,lbp + glcm + gabor + hog + drlbp,svm,1964,0.275886524822695,0.0069895047320663,0.2651047852429103,0.0041131215833407,52.8
DTD,5,lbp + glcm + gabor + hog + drlbp,knn,1964,0.2443262411347517,0.0149252450395283,0.2450081104719414,0.0138994352815457,1.5
DTD,5,lbp + glcm + gabor + hog + drlbp,rf,1964,0.3319148936170212,0.0080980051394817,0.314693184409078,0.0097535477653212,16.3
DTD,5,lbp + glcm + gabor + hog + drlbp,resmlp,1964,0.3484042553191489,0.0100298834210857,0.3408630416734929,0.0111226816057201,15.6
DTD,6,lbp + glcm + gabor + hog + drlbp + vgg16,svm,6060,0.6789007092198581,0.010176131100909,0.6767236741540776,0.0097209971511521,118.9
DTD,6,lbp + glcm + gabor + hog + drlbp + vgg16,knn,6060,0.6078014184397162,0.010793781032074,0.6010694969081862,0.012823832759404,4.0
DTD,6,lbp + glcm + gabor + hog + drlbp + vgg16,rf,6060,0.6152482269503545,0.0189060642022217,0.6059487006044703,0.018469363004151,19.1
DTD,6,lbp + glcm + gabor + hog + drlbp + vgg16,resmlp,6060,0.6569148936170213,0.0111293296641668,0.6538004982116769,0.0127410945821929,10.1
DTD,7,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50,svm,8108,0.7565602836879431,0.0073661624389507,0.7553358039111494,0.0072156429874418,162.9
DTD,7,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50,knn,8108,0.6955673758865248,0.0076179259074258,0.6904091683861491,0.0079661780913223,5.2
DTD,7,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50,rf,8108,0.6615248226950354,0.0093552524526758,0.6553174728191791,0.0089576756433854,24.7
DTD,7,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50,resmlp,8108,0.7296099290780143,0.0102928548040425,0.7293285521931079,0.007820982072358,9.2
DTD,8,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101,svm,10156,0.7742907801418439,0.0046439010119534,0.7734758530913446,0.0048253777618544,2457.8
DTD,8,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101,knn,10156,0.7187943262411347,0.0088011869829722,0.7144571803808644,0.0095513783446436,6.3
DTD,8,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101,rf,10156,0.672340425531915,0.0114715078862566,0.6657153643698543,0.0113614653793964,30.0
DTD,8,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101,resmlp,10156,0.7680851063829787,0.0060022379006421,0.7675700313037865,0.0046898705543551,11.3
DTD,9,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121,svm,11180,0.7797872340425531,0.0090512404383689,0.7791547980043461,0.0097444033584693,2616.6
DTD,9,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121,knn,11180,0.7290780141843971,0.0050023886452716,0.724813313428502,0.006361093099787,6.8
DTD,9,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121,rf,11180,0.6955673758865248,0.0080395631551451,0.691934889703737,0.0087784535045722,29.8
DTD,9,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121,resmlp,11180,0.771985815602837,0.0081714316466687,0.7704194019714137,0.0065980941869026,13.7
DTD,10,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t,svm,11948,0.8051418439716311,0.0071890549406784,0.8046349165775887,0.0074057621365184,612.7
DTD,10,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t,knn,11948,0.7526595744680852,0.0089182810921697,0.748925157036969,0.0091555949987778,6.5
DTD,10,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t,rf,11948,0.7078014184397163,0.0090512404383689,0.7034053957268548,0.0100966333665096,30.8
DTD,10,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t,resmlp,11948,0.7945035460992906,0.0031914893617021,0.7932329488050465,0.0026162874767999,13.3
DTD,11,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0,svm,13228,0.798049645390071,0.0100674252245236,0.7973810120361697,0.0105644483007716,227.6
DTD,11,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0,knn,13228,0.7519503546099291,0.0088546035384282,0.7478177947376821,0.0085853700650863,6.6
DTD,11,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0,rf,13228,0.7053191489361702,0.0064564331404372,0.7006586736556151,0.0062592385443993,33.8
DTD,11,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0,resmlp,13228,0.7953900709219858,0.0049645390070921,0.7942675053018309,0.0047741288581898,14.1
DTD,12,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16,svm,13996,0.8095744680851065,0.0057835129185461,0.8093418944950223,0.0063158582595522,237.2
DTD,12,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16,knn,13996,0.7663120567375887,0.0052177088544546,0.7633947095749652,0.0054177156768967,6.9
DTD,12,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16,rf,13996,0.7127659574468084,0.0090234118085102,0.7078071813326887,0.0099898833071475,35.9
DTD,12,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16,resmlp,13996,0.8095744680851065,0.0054476210977791,0.8078870797025728,0.0055074054176944,16.7
DTD,13,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t,svm,14764,0.8129432624113475,0.0033641251703918,0.8126470692203467,0.0035760622957386,278.8
DTD,13,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t,knn,14764,0.7650709219858156,0.0085401379991434,0.761252616910325,0.0091905760253758,7.5
DTD,13,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t,rf,14764,0.7090425531914895,0.0105849727351768,0.7045069071656314,0.0103094167387537,37.6
DTD,13,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t,resmlp,14764,0.8125886524822695,0.0070164393395068,0.8111233108815302,0.0073564240769308,16.2
DTD,14,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s,svm,15148,0.8124113475177305,0.0059496318211214,0.8120804944164218,0.0062843449320852,249.2
DTD,14,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s,knn,15148,0.7618794326241135,0.0082136417176599,0.7580366549792347,0.0081006075827943,7.6
DTD,14,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s,rf,15148,0.7150709219858156,0.0104233606075879,0.7099710468239798,0.0114607437231285,39.1
DTD,14,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s,resmlp,15148,0.8108156028368795,0.0066954636838649,0.8091000332961077,0.0069530813023154,17.2
DTD,15,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small,svm,15532,0.8315602836879432,0.008811896198432,0.8312071744485608,0.0086340837886341,253.8
DTD,15,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small,knn,15532,0.7790780141843971,0.0073832137637081,0.7757981757066821,0.0076733979313181,7.6
DTD,15,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small,rf,15532,0.7427304964539007,0.0075516097301584,0.739545259999727,0.0078604604493544,39.3
DTD,15,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small,resmlp,15532,0.82854609929078,0.0047111100197114,0.8274190788385066,0.0050356381962048,18.5
DTD,16,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2,svm,16300,0.848758865248227,0.0104233606075879,0.8483554082334022,0.0105241211035062,276.6
DTD,16,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2,knn,16300,0.800177304964539,0.0050957829302127,0.797099316618331,0.00503349593159,8.0
DTD,16,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2,rf,16300,0.7615248226950354,0.0114632835994642,0.7591707827858023,0.0119766448011439,43.2
DTD,16,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2,resmlp,16300,0.852659574468085,0.0118330310024564,0.8513268439924027,0.0117433217303354,19.8
DTD,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,svm,17324,0.8624113475177305,0.0074678864144158,0.8620883044120241,0.0075927864572087,249.2
DTD,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,knn,17324,0.8093971631205674,0.0031217760393012,0.8067249853458389,0.0031979787847706,8.1
DTD,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,rf,17324,0.7783687943262411,0.0083916025292193,0.7762559216171343,0.0095877542522807,44.4
DTD,17,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large,resmlp,17324,0.8613475177304964,0.0059496318211214,0.8596992197062173,0.0056927437378103,17.3
DTD,18,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large + eva02_base,svm,18092,0.8661347517730495,0.0086680188380002,0.8659154397077033,0.0087163139899519,204.3
DTD,18,lbp + glcm + gabor + hog + drlbp + vgg16 + resnet50 + resnet101 + densenet121 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s + dinov2_small + dinov2 + dinov2_large + eva02_base,knn,18092,0.8138297872340425,0.0055221317384388,0.8111579568758465,0.0062089795445233,8.4
