dataset,strategy,true_class,pred_class,count,row_total,rate
DTD,Mejor individual,lined,banded,26,120,0.21666666666666667
DTD,Mejor individual,dotted,polka-dotted,25,120,0.20833333333333334
DTD,Mejor individual,banded,lined,23,120,0.19166666666666668
DTD,GFS subset,lined,banded,25,120,0.20833333333333334
DTD,GFS subset,dotted,polka-dotted,19,120,0.15833333333333333
DTD,GFS subset,stained,blotchy,14,120,0.11666666666666667
DTD,Full concat,dotted,polka-dotted,23,120,0.19166666666666668
DTD,Full concat,lined,banded,22,120,0.18333333333333332
DTD,Full concat,smeared,blotchy,18,120,0.15
FMD,Mejor individual,fabric,paper,3,100,0.03
FMD,Mejor individual,stone,glass,3,100,0.03
FMD,Mejor individual,water,foliage,3,100,0.03
FMD,GFS subset,leather,fabric,3,100,0.03
FMD,GFS subset,leather,metal,3,100,0.03
FMD,GFS subset,paper,plastic,3,100,0.03
FMD,Full concat,leather,fabric,5,100,0.05
FMD,Full concat,plastic,metal,4,100,0.04
FMD,Full concat,plastic,paper,4,100,0.04
KTH-TIPS2,Mejor individual,corduroy,cotton,3,432,0.006944444444444444
KTH-TIPS2,Mejor individual,linen,cotton,2,396,0.005050505050505051
KTH-TIPS2,Mejor individual,cotton,wood,1,396,0.0025252525252525255
KTH-TIPS2,GFS subset,corduroy,cotton,1,432,0.0023148148148148147
KTH-TIPS2,Full concat,corduroy,cotton,1,432,0.0023148148148148147
HVD_glaucoma,Mejor individual,early_glaucoma,advanced_glaucoma,115,289,0.39792387543252594
HVD_glaucoma,Mejor individual,early_glaucoma,normal_control,76,289,0.2629757785467128
HVD_glaucoma,Mejor individual,normal_control,advanced_glaucoma,64,788,0.08121827411167512
HVD_glaucoma,GFS subset,early_glaucoma,advanced_glaucoma,71,289,0.24567474048442905
HVD_glaucoma,GFS subset,early_glaucoma,normal_control,67,289,0.23183391003460208
HVD_glaucoma,GFS subset,normal_control,early_glaucoma,43,788,0.05456852791878172
HVD_glaucoma,Full concat,early_glaucoma,advanced_glaucoma,74,289,0.2560553633217993
HVD_glaucoma,Full concat,early_glaucoma,normal_control,68,289,0.23529411764705882
HVD_glaucoma,Full concat,normal_control,early_glaucoma,52,788,0.06598984771573604
ocular_toxoplasmosis,Mejor individual,active,inactive,44,92,0.4782608695652174
ocular_toxoplasmosis,Mejor individual,inactive,healthy,14,188,0.07446808510638298
ocular_toxoplasmosis,Mejor individual,inactive,active,13,188,0.06914893617021277
ocular_toxoplasmosis,GFS subset,active,inactive,25,92,0.2717391304347826
ocular_toxoplasmosis,GFS subset,inactive,active,14,188,0.07446808510638298
ocular_toxoplasmosis,GFS subset,inactive,healthy,11,188,0.05851063829787234
ocular_toxoplasmosis,Full concat,active,inactive,24,92,0.2608695652173913
ocular_toxoplasmosis,Full concat,inactive,active,18,188,0.09574468085106383
ocular_toxoplasmosis,Full concat,healthy,inactive,7,132,0.05303030303030303
