dataset,strategy,class,support,precision,recall,f1
DTD,Mejor individual,banded,120,0.7338709677419355,0.7583333333333333,0.7459016393442623
DTD,Mejor individual,blotchy,120,0.5217391304347826,0.5,0.5106382978723404
DTD,Mejor individual,braided,120,0.8495575221238938,0.8,0.8240343347639485
DTD,Mejor individual,bubbly,120,0.9745762711864406,0.9583333333333334,0.9663865546218487
DTD,Mejor individual,bumpy,120,0.8189655172413793,0.7916666666666666,0.8050847457627118
DTD,Mejor individual,chequered,120,0.9421487603305785,0.95,0.946058091286307
DTD,Mejor individual,cobwebbed,120,1.0,0.9583333333333334,0.9787234042553191
DTD,Mejor individual,cracked,120,0.8943089430894309,0.9166666666666666,0.9053497942386831
DTD,Mejor individual,crosshatched,120,0.7209302325581395,0.775,0.7469879518072289
DTD,Mejor individual,crystalline,120,0.9666666666666667,0.9666666666666667,0.9666666666666667
DTD,Mejor individual,dotted,120,0.8333333333333334,0.75,0.7894736842105263
DTD,Mejor individual,fibrous,120,0.8434782608695652,0.8083333333333333,0.825531914893617
DTD,Mejor individual,flecked,120,0.7837837837837838,0.725,0.7532467532467533
DTD,Mejor individual,freckled,120,0.9338842975206612,0.9416666666666667,0.9377593360995851
DTD,Mejor individual,frilly,120,0.9435483870967742,0.975,0.9590163934426229
DTD,Mejor individual,gauzy,120,0.8306451612903226,0.8583333333333333,0.8442622950819673
DTD,Mejor individual,grid,120,0.7168141592920354,0.675,0.6952789699570815
DTD,Mejor individual,grooved,120,0.8099173553719008,0.8166666666666667,0.8132780082987552
DTD,Mejor individual,honeycombed,120,0.9655172413793104,0.9333333333333333,0.9491525423728814
DTD,Mejor individual,interlaced,120,0.9008264462809917,0.9083333333333333,0.9045643153526971
DTD,Mejor individual,knitted,120,0.837037037037037,0.9416666666666667,0.8862745098039215
DTD,Mejor individual,lacelike,120,0.9344262295081968,0.95,0.9421487603305785
DTD,Mejor individual,lined,120,0.7207207207207207,0.6666666666666666,0.6926406926406926
DTD,Mejor individual,marbled,120,0.8524590163934426,0.8666666666666667,0.859504132231405
DTD,Mejor individual,matted,120,0.7669172932330827,0.85,0.8063241106719368
DTD,Mejor individual,meshed,120,0.8292682926829268,0.85,0.8395061728395061
DTD,Mejor individual,paisley,120,0.9421487603305785,0.95,0.946058091286307
DTD,Mejor individual,perforated,120,0.8615384615384616,0.9333333333333333,0.896
DTD,Mejor individual,pitted,120,0.6870229007633588,0.75,0.7171314741035857
DTD,Mejor individual,pleated,120,0.85,0.85,0.85
DTD,Mejor individual,polka-dotted,120,0.776,0.8083333333333333,0.7918367346938775
DTD,Mejor individual,porous,120,0.8018018018018018,0.7416666666666667,0.7705627705627706
DTD,Mejor individual,potholed,120,0.9915966386554622,0.9833333333333333,0.9874476987447699
DTD,Mejor individual,scaly,120,0.9349593495934959,0.9583333333333334,0.9465020576131687
DTD,Mejor individual,smeared,120,0.7521367521367521,0.7333333333333333,0.7426160337552743
DTD,Mejor individual,spiralled,120,0.7966101694915254,0.7833333333333333,0.7899159663865546
DTD,Mejor individual,sprinkled,120,0.7946428571428571,0.7416666666666667,0.7672413793103449
DTD,Mejor individual,stained,120,0.6972477064220184,0.6333333333333333,0.6637554585152838
DTD,Mejor individual,stratified,120,0.8153846153846154,0.8833333333333333,0.848
DTD,Mejor individual,striped,120,0.9537037037037037,0.8583333333333333,0.9035087719298246
DTD,Mejor individual,studded,120,0.8769230769230769,0.95,0.912
DTD,Mejor individual,swirly,120,0.78125,0.8333333333333334,0.8064516129032258
DTD,Mejor individual,veined,120,0.8290598290598291,0.8083333333333333,0.8185654008438819
DTD,Mejor individual,waffled,120,0.9532710280373832,0.85,0.8986784140969163
DTD,Mejor individual,woven,120,0.7591240875912408,0.8666666666666667,0.8093385214007782
DTD,Mejor individual,wrinkled,120,0.8974358974358975,0.875,0.8860759493670886
DTD,Mejor individual,zigzagged,120,0.9568965517241379,0.925,0.940677966101695
DTD,GFS subset,banded,120,0.7591240875912408,0.8666666666666667,0.8093385214007782
DTD,GFS subset,blotchy,120,0.5537190082644629,0.5583333333333333,0.5560165975103735
DTD,GFS subset,braided,120,0.8416666666666667,0.8416666666666667,0.8416666666666667
DTD,GFS subset,bubbly,120,0.975,0.975,0.975
DTD,GFS subset,bumpy,120,0.853448275862069,0.825,0.8389830508474576
DTD,GFS subset,chequered,120,1.0,0.9416666666666667,0.9699570815450643
DTD,GFS subset,cobwebbed,120,1.0,0.9583333333333334,0.9787234042553191
DTD,GFS subset,cracked,120,0.888,0.925,0.9061224489795918
DTD,GFS subset,crosshatched,120,0.816,0.85,0.8326530612244898
DTD,GFS subset,crystalline,120,0.9666666666666667,0.9666666666666667,0.9666666666666667
DTD,GFS subset,dotted,120,0.8828828828828829,0.8166666666666667,0.8484848484848485
DTD,GFS subset,fibrous,120,0.8793103448275862,0.85,0.864406779661017
DTD,GFS subset,flecked,120,0.7727272727272727,0.7083333333333334,0.7391304347826086
DTD,GFS subset,freckled,120,0.9491525423728814,0.9333333333333333,0.9411764705882353
DTD,GFS subset,frilly,120,0.9291338582677166,0.9833333333333333,0.9554655870445344
DTD,GFS subset,gauzy,120,0.8429752066115702,0.85,0.8464730290456431
DTD,GFS subset,grid,120,0.7310924369747899,0.725,0.7280334728033473
DTD,GFS subset,grooved,120,0.8559322033898306,0.8416666666666667,0.8487394957983193
DTD,GFS subset,honeycombed,120,0.9421487603305785,0.95,0.946058091286307
DTD,GFS subset,interlaced,120,0.925,0.925,0.925
DTD,GFS subset,knitted,120,0.8432835820895522,0.9416666666666667,0.889763779527559
DTD,GFS subset,lacelike,120,0.95,0.95,0.95
DTD,GFS subset,lined,120,0.8155339805825242,0.7,0.7533632286995515
DTD,GFS subset,marbled,120,0.832,0.8666666666666667,0.8489795918367347
DTD,GFS subset,matted,120,0.824,0.8583333333333333,0.8408163265306122
DTD,GFS subset,meshed,120,0.853448275862069,0.825,0.8389830508474576
DTD,GFS subset,paisley,120,0.9508196721311475,0.9666666666666667,0.9586776859504132
DTD,GFS subset,perforated,120,0.8507462686567164,0.95,0.8976377952755905
DTD,GFS subset,pitted,120,0.6893939393939394,0.7583333333333333,0.7222222222222222
DTD,GFS subset,pleated,120,0.856,0.8916666666666667,0.8734693877551021
DTD,GFS subset,polka-dotted,120,0.8467741935483871,0.875,0.860655737704918
DTD,GFS subset,porous,120,0.7946428571428571,0.7416666666666667,0.7672413793103449
DTD,GFS subset,potholed,120,0.9829059829059829,0.9583333333333334,0.9704641350210971
DTD,GFS subset,scaly,120,0.9349593495934959,0.9583333333333334,0.9465020576131687
DTD,GFS subset,smeared,120,0.7642276422764228,0.7833333333333333,0.7736625514403292
DTD,GFS subset,spiralled,120,0.8773584905660378,0.775,0.8230088495575221
