dataset,clf,best_extractor,best_mean_f1,n_sig_05,n_sig_01,n_sig_001,n_total_comparisons
CUReT,knn,densenet121,0.9708616521815534,11,9,6,16
CUReT,resmlp,dinov2_large,0.9988473166738702,10,6,4,16
CUReT,rf,densenet121,0.9812410149441554,14,9,8,16
CUReT,svm,dinov2_large,0.9937884824023783,9,9,8,16
DTD,knn,dinov2,0.8029679400142475,14,14,11,16
DTD,resmlp,dinov2_large,0.8369724833863348,16,14,14,16
DTD,rf,dinov2_large,0.7793560291929074,14,14,14,16
DTD,svm,dinov2,0.8419999489268051,15,14,13,16
FMD,knn,dinov2_small,0.8884188990793339,13,11,8,16
FMD,resmlp,dinov2,0.9479806254222171,13,13,5,16
FMD,rf,dinov2_large,0.8918978099979086,16,12,7,16
FMD,svm,dinov2,0.9570619215520251,14,11,6,16
Soil,knn,efficientnet_b0,0.7956561837103145,5,5,5,16
Soil,resmlp,vit_b16,0.8579160375065064,5,5,4,16
Soil,rf,densenet121,0.7756315624409735,6,5,3,16
Soil,svm,efficientnet_b0,0.831381072005294,6,5,5,16
VisTex,knn,dinov2,0.7343150932887775,7,5,1,16
VisTex,resmlp,dinov2_large,0.8819244871437852,6,4,1,16
VisTex,rf,dinov2_small,0.7419561867632043,4,0,0,16
VisTex,svm,dinov2,0.7304820131135921,12,10,5,16
