dataset,clf,gfs_step,gfs_subset,gfs_dim,gfs_f1,prefix_k17_f1,delta_vs_prefix,sig_vs_prefix,best_indiv,best_indiv_f1,delta_vs_indiv,sig_vs_indiv
DTD,svm,4,dinov2 + resnet50 + dinov2_large + glcm,3858,0.8682765980317141,0.8620883044120241,0.006188293619689977,False,dinov2,0.8419999489268051,0.02627664910490901,True
DTD,knn,4,dinov2 + resnet50 + dinov2_large + lbp,3894,0.822097954542925,0.8067249853458389,0.015372969197086084,True,dinov2,0.8029679400142475,0.019130014528677464,False
DTD,rf,2,dinov2_large + dinov2_small,1408,0.7617990648925851,0.7762559216171343,-0.014456856724549216,False,dinov2_large,0.7793560291929074,-0.017556964300322275,True
DTD,resmlp,3,dinov2_large + resnet50 + dinov2,3840,0.8639044995518891,0.8596992197062173,0.004205279845671761,False,dinov2_large,0.8369724833863348,0.026932016165554296,True
FMD,svm,2,dinov2 + dinov2_large,1792,0.9730245714569088,0.947980541298898,0.02504403015801082,False,dinov2,0.9570619215520252,0.015962649904883608,False
FMD,knn,4,dinov2_small + dinov2_large + resnet50 + lbp,3510,0.9138204299849662,0.8909822073987472,0.022838222586218926,False,dinov2_small,0.8884188990793339,0.02540153090563224,False
FMD,rf,2,dinov2_large + dinov2_small,1408,0.8774609952070451,0.8783194638457786,-0.0008584686387335116,False,dinov2_large,0.8918978099979086,-0.01443681479086345,False
FMD,resmlp,3,dinov2 + dinov2_large + dinov2_small,2176,0.9690100212500724,0.9360035676088898,0.0330064536411826,False,dinov2,0.9479806254222172,0.021029395827855235,False
CUReT,svm,3,dinov2_large + swin_t + resnet50,3840,0.9998359630506772,0.9998359630506772,0.0,False,dinov2_large,0.9937884824023784,0.006047480648298853,True
CUReT,knn,3,densenet121 + dinov2_large + convnext_v2_t,2816,0.9856329984682756,0.982669672016572,0.0029633264517036073,False,densenet121,0.9708616521815534,0.014771346286722165,True
CUReT,rf,3,densenet121 + dinov2_large + dinov2_small,2432,0.983808188805656,0.9908168057893776,-0.007008616983721572,False,densenet121,0.9812410149441554,0.0025671738615006268,False
CUReT,resmlp,2,dinov2_large + swin_t,1792,0.9998359630506772,0.9998359630506772,0.0,False,dinov2_large,0.9988473166738702,0.0009886463768070675,False
Soil,svm,5,efficientnet_b0 + vit_b16 + dinov2 + resnet101 + lbp,4918,0.9062724934102904,0.9037190997248088,0.0025533936854815753,False,efficientnet_b0,0.831381072005294,0.07489142140499638,False
Soil,knn,3,resnet101 + vit_b16 + gabor,2864,0.8270104727020338,0.8133639319672257,0.013646540734808088,False,efficientnet_b0,0.7956561837103145,0.031354288991719215,False
Soil,rf,2,densenet121 + dinov2,1792,0.8004426921706852,0.7543113755154535,0.046131316655231736,False,densenet121,0.7756315624409735,0.024811129729711667,False
Soil,resmlp,3,densenet121 + vit_b16 + dinov2_large,2816,0.9018197496252676,0.8838667278682324,0.01795302175703517,False,vit_b16,0.8579160375065064,0.04390371211876121,False
VisTex,svm,3,dinov2 + convnext_v2_t + drlbp,1616,0.90248375568551,0.8655098394133482,0.03697391627216173,False,dinov2,0.7304820131135921,0.17200174257191791,True
VisTex,knn,1,dinov2,768,0.7343150932887775,0.6345932755168345,0.099721817771943,True,dinov2,0.7343150932887775,0.0,False
VisTex,rf,2,dinov2_small + gabor,432,0.7747218973359324,0.731654970760234,0.04306692657569844,False,dinov2_small,0.7419561867632043,0.032765710572728146,False
VisTex,resmlp,3,dinov2_large + convnext_v2_t + drlbp,1872,0.923689223057644,0.8743107769423558,0.04937844611528819,False,dinov2_large,0.8819244871437852,0.041764735913858764,False
