dataset,clf,seed,n_train,n_test,gfs_path,gfs_k,b_and_l_selected,b_and_l_positions,final_test_f1,elapsed_s
DTD,svm,4,4512,1128,dinov2_large -> swin_t -> resnet50 -> dinov2,4,True,"[0, 3]",0.865412014344965,591.2
DTD,knn,4,4512,1128,dinov2 -> densenet121,2,False,[0],0.8140841617704939,7.1
FMD,svm,4,800,200,dinov2 -> dinov2_large -> densenet121,3,True,"[0, 1]",0.9801067631555437,7.1
FMD,knn,4,800,200,dinov2 -> densenet121 -> gabor,3,False,[0],0.9394228983744461,1.3
CUReT,svm,4,4880,1220,dinov2_large -> swin_t -> vit_b16,3,False,[0],1.0,323.4
CUReT,knn,4,4880,1220,dinov2_large -> efficientnet_b0 -> drlbp,3,False,[0],0.9893982092039711,17.8
Soil,svm,4,948,238,efficientnet_b0 -> vit_b16 -> convnext_v2_t -> swin_t,4,False,[],0.8841877141103238,12.8
Soil,knn,4,948,238,swin_t -> efficientnet_b0 -> dinov2_large,3,False,[2],0.8575437303953339,1.5
VisTex,svm,4,133,34,dinov2 -> densenet121 -> gabor,3,False,[0],0.7868165784832452,0.4
VisTex,knn,4,133,34,dinov2_small -> resnet50 -> drlbp -> glcm,4,False,[],0.6152777777777777,0.7
