dataset,clf,comparison,method_a,method_b,mean_a,mean_b,delta,t_stat,p_value,cohens_d,a_better,p_value_holm,significant_05,significant_01,significant_001
DTD,svm,GFS_vs_Prefix_k17,GFS_step4 (dinov2 + resnet50 + dinov2_large + glcm),Prefix_concat_k17,0.8682765980317141,0.8620883044120241,0.006188293619689977,1.4431436966513203,0.22245886199452833,0.6453934813352277,True,1.0,False,False,False
DTD,svm,GFS_vs_BestIndividual,GFS_step4 (dinov2 + resnet50 + dinov2_large + glcm),Individual_dinov2,0.8682765980317141,0.8419999489268051,0.02627664910490901,21.96853087179387,2.540807250229573e-05,9.824625675353415,True,0.0006097937400550975,True,True,True
DTD,knn,GFS_vs_Prefix_k17,GFS_step4 (dinov2 + resnet50 + dinov2_large + lbp),Prefix_concat_k17,0.822097954542925,0.8067249853458389,0.015372969197086084,9.638310150935546,0.0006480468669574849,4.310383335935052,True,0.014905077940022151,True,False,False
DTD,knn,GFS_vs_BestIndividual,GFS_step4 (dinov2 + resnet50 + dinov2_large + lbp),Individual_dinov2,0.822097954542925,0.8029679400142475,0.019130014528677464,3.640997185820998,0.021945298936404276,1.6283034425376393,True,0.30723418510965983,False,False,False
DTD,rf,GFS_vs_Prefix_k17,GFS_step2 (dinov2_large + dinov2_small),Prefix_concat_k17,0.7617990648925851,0.7762559216171343,-0.014456856724549216,-2.513363393520658,0.06582077441539956,-1.124010279926958,False,0.9214908418155938,False,False,False
DTD,rf,GFS_vs_BestIndividual,GFS_step2 (dinov2_large + dinov2_small),Individual_dinov2_large,0.7617990648925851,0.7793560291929074,-0.017556964300322275,-8.159667696694761,0.0012279487408521428,-3.6491143279652762,False,0.025786923557895,True,False,False
DTD,resmlp,GFS_vs_Prefix_k17,GFS_step3 (dinov2_large + resnet50 + dinov2),Prefix_concat_k17,0.8639044995518891,0.8596992197062173,0.004205279845671761,1.2322690221235508,0.2853293419718106,0.5510874599348722,True,1.0,False,False,False
DTD,resmlp,GFS_vs_BestIndividual,GFS_step3 (dinov2_large + resnet50 + dinov2),Individual_dinov2_large,0.8639044995518891,0.8369724833863348,0.026932016165554296,6.833720235456491,0.0023984728170054846,3.0561325967925193,True,0.04557098352310421,True,False,False
FMD,svm,GFS_vs_Prefix_k17,GFS_step2 (dinov2 + dinov2_large),Prefix_concat_k17,0.9730245714569087,0.9479805412988981,0.0250440301580106,3.3572072190393283,0.028378282793904756,1.5013887111749846,True,0.5675656558780952,False,False,False
FMD,svm,GFS_vs_BestIndividual,GFS_step2 (dinov2 + dinov2_large),Individual_dinov2,0.9730245714569087,0.9570619215520251,0.015962649904883608,3.749967822945384,0.019947636132724076,1.6770365929323652,True,0.2992145419908611,False,False,False
FMD,knn,GFS_vs_Prefix_k17,GFS_step4 (dinov2_small + dinov2_large + resnet50 + lbp),Prefix_concat_k17,0.9138204299849662,0.8909822073987472,0.022838222586218926,2.8474426873608296,0.046515936534630944,1.2734150821236963,True,0.7442549845540951,False,False,False
FMD,knn,GFS_vs_BestIndividual,GFS_step4 (dinov2_small + dinov2_large + resnet50 + lbp),Individual_dinov2_small,0.9138204299849662,0.8884188990793339,0.02540153090563224,3.13024438406467,0.03517696175343651,1.3998878457139643,True,0.4573005027946746,False,False,False
FMD,rf,GFS_vs_Prefix_k17,GFS_step2 (dinov2_large + dinov2_small),Prefix_concat_k17,0.8774609952070451,0.8783194638457786,-0.0008584686387335116,-0.05951114813462661,0.9553995400779998,-0.02661419452879189,False,1.0,False,False,False
FMD,rf,GFS_vs_BestIndividual,GFS_step2 (dinov2_large + dinov2_small),Individual_dinov2_large,0.8774609952070451,0.8918978099979086,-0.01443681479086345,-1.4324371649753054,0.22529276017568162,-0.6406053748479471,False,1.0,False,False,False
FMD,resmlp,GFS_vs_Prefix_k17,GFS_step3 (dinov2 + dinov2_large + dinov2_small),Prefix_concat_k17,0.9690100212500725,0.9360035676088898,0.03300645364118271,5.1206151756525,0.006883191015319413,2.2900087237163205,True,0.1514302023370271,False,False,False
FMD,resmlp,GFS_vs_BestIndividual,GFS_step3 (dinov2 + dinov2_large + dinov2_small),Individual_dinov2,0.9690100212500725,0.9479806254222171,0.021029395827855457,5.925805945788389,0.004063508570884748,2.650100982917092,True,0.06501613713415597,False,False,False
CUReT,svm,GFS_vs_Prefix_k17,GFS_step3 (dinov2_large + swin_t + resnet50),Prefix_concat_k17,0.9998359630506771,0.9998359630506771,0.0,,,0.0,False,1.0,False,False,False
