dataset,clf,k,gfs_subset,gfs_f1_5fold,gfs_f1_1fold,random_mean_f1,random_std_f1,random_min_f1,random_max_f1,random_median_f1,delta_5fold_vs_random_1fold,delta_1fold_vs_random_1fold,z_score_1fold,p_value_gfs_better_than_random,percentile_gfs_in_random_dist,cohens_d_1fold,n_random
DTD,svm,4,dinov2 + resnet50 + dinov2_large + glcm,0.8682765980317141,0.8738496961723293,0.7980360508005601,0.04368323461541213,0.6871113029667597,0.8436636284118305,0.7974684308428884,0.07024054723115403,0.07581364537176927,5.488233625686878,2.0298644876071137e-08,100.0,1.735531858789722,10
DTD,knn,4,dinov2 + resnet50 + dinov2_large + lbp,0.822097954542925,0.8242294314118853,0.7464139514573077,0.04870127382798116,0.6169727736585906,0.7949298950719996,0.7488986485874528,0.07568400308561729,0.0778154799545776,5.052725206835555,2.1777516101550987e-07,100.0,1.5978120044217645,10
DTD,rf,2,dinov2_large + dinov2_small,0.7617990648925851,0.7810570110198043,0.6452386620706321,0.15753905748749875,0.2166783220401663,0.788660119458622,0.6704772636871903,0.11656040282195301,0.13581834894917222,2.7262784072261113,0.0032026472779230764,80.0,0.8621249302515837,10
DTD,resmlp,3,dinov2_large + resnet50 + dinov2,0.8639044995518891,0.8628672578608827,0.7642761891824497,0.06453098597625609,0.6550533586387901,0.8208579319448709,0.7903935230374869,0.09962831036943942,0.09859106867843304,4.831358598621917,6.780225518809857e-07,100.0,1.527809736444774,10
FMD,svm,2,dinov2 + dinov2_large,0.9730245714569088,0.9899937460913071,0.8297258881097701,0.20474234287842816,0.22506446204239072,0.9549181431260424,0.8741893462511288,0.1432986833471387,0.16026785798153698,2.4753622519548255,0.006655054753166079,100.0,0.7827782750142602,10
FMD,knn,4,dinov2_small + dinov2_large + resnet50 + lbp,0.9138204299849662,0.9205844368411167,0.8468542261307851,0.05934836468363013,0.6830731730567643,0.9004764787499063,0.8605923243856493,0.06696620385418106,0.07373021071033159,3.928590104406019,4.2722667965566785e-05,100.0,1.2423292722912385,10
FMD,rf,2,dinov2_large + dinov2_small,0.8774609952070451,0.884004985151655,0.7432371285792843,0.15499779254250237,0.31123383152794915,0.8902096508341846,0.7576742933486866,0.13422386662776087,0.1407678565723708,2.8719573408539336,0.0020396901543251467,90.0,0.9081926539880383,10
FMD,resmlp,3,dinov2 + dinov2_large + dinov2_small,0.9690100212500724,0.9899937460913071,0.8546196875300842,0.0489163186703005,0.785602674932018,0.9154873111484152,0.8586450152002036,0.11439033371998819,0.13537405856122287,8.751483611018253,0.0,100.0,2.7674621115886966,10
CUReT,svm,3,dinov2_large + swin_t + resnet50,0.9998359630506772,1.0,0.9947560742971392,0.004318436417002631,0.9877198530398206,0.9991798152533857,0.9958983439591198,0.005079888753538042,0.005243925702860808,3.8399891767422067,6.151986731472991e-05,100.0,1.2143111986088322,10
CUReT,knn,3,densenet121 + dinov2_large + convnext_v2_t,0.9856329984682756,0.985205823628129,0.9567828890111336,0.020331929933833384,0.9163651134978393,0.9755422280464895,0.9639546766549086,0.028850109457141948,0.02842293461699541,4.420692549514648,4.919253650315092e-06,100.0,1.3979457291115405,10
CUReT,rf,3,densenet121 + dinov2_large + dinov2_small,0.983808188805656,0.98364604514108,0.9671408118004443,0.014436963942611531,0.9336375395234742,0.9795090752217815,0.9740848246480185,0.016667377005211703,0.016505233340635694,3.6153121166220124,0.00014999298813056505,100.0,1.1432620740137949,10
CUReT,resmlp,2,dinov2_large + swin_t,0.9998359630506772,1.0,0.9868229503155528,0.02562141448323359,0.910969707289069,0.9983596305067717,0.9967297696306093,0.013013012735124452,0.013177049684447217,1.6263539966274831,0.05193718558248872,100.0,0.514298291085992,10
Soil,svm,5,efficientnet_b0 + vit_b16 + dinov2 + resnet101 + lbp,0.9062724934102904,0.9041578922351313,0.8584999388350584,0.019519481534505237,0.8214992927864214,0.8844136973142528,0.8667347377336505,0.047772554575231996,0.04565795340007295,7.3968730056087155,6.972200594645983e-14,100.0,2.3390966259540638,10
Soil,knn,3,resnet101 + vit_b16 + gabor,0.8270104727020338,0.8242979380177099,0.7486494150652484,0.021829817578262876,0.7054913912952283,0.7782058934728573,0.751691107937006,0.07836105763678536,0.0756485229524615,10.958480678991553,0.0,100.0,3.465375863897435,10
