dataset,clf,step,selected_extractor,selected_subset,dim,mean_f1,std_f1
CUReT,svm,1,dinov2_large,dinov2_large,1024,0.9937884824023783,0.0015115627601214993
CUReT,svm,2,swin_t,dinov2_large + swin_t,1792,0.9990159833502495,0.0008032369720664073
CUReT,svm,3,resnet50,dinov2_large + swin_t + resnet50,3840,0.9998359630506771,0.0003280738986457088
CUReT,knn,1,siglip_base,siglip_base,768,0.975004360792705,0.0023337899134612517
CUReT,knn,2,densenet121,siglip_base + densenet121,1792,0.9834450452957517,0.0029759535646815645
CUReT,knn,3,dinov2_large,siglip_base + densenet121 + dinov2_large,2816,0.9869178240015366,0.002239595927482049
CUReT,rf,1,densenet121,densenet121,1024,0.9734993202287852,0.004270791749389509
CUReT,rf,2,dinov2_large,densenet121 + dinov2_large,2048,0.9827755403603644,0.004219145709849795
CUReT,rf,3,dinov2_small,densenet121 + dinov2_large + dinov2_small,2432,0.983808188805656,0.003160267580948669
CUReT,resmlp,1,dinov2_large,dinov2_large,1024,0.9983552058259016,0.0017969565382558136
CUReT,resmlp,2,swin_t,dinov2_large + swin_t,1792,0.9998359630506771,0.0003280738986457088
