dataset,clf,step,selected_extractor,selected_subset,dim,mean_f1,std_f1
DTD,svm,1,dinov2,dinov2,768,0.8419999489268051,0.0056994432132429045
DTD,svm,2,eva02_base,dinov2 + eva02_base,1536,0.8676849306490848,0.007546022676464605
DTD,svm,3,dinov2_large,dinov2 + eva02_base + dinov2_large,2560,0.8737951253564129,0.007237972993383298
DTD,svm,4,drlbp,dinov2 + eva02_base + dinov2_large + drlbp,2640,0.8739802686170604,0.008264256396114444
DTD,knn,1,dinov2,dinov2,768,0.8029679400142475,0.009242930794588315
DTD,knn,2,eva02_base,dinov2 + eva02_base,1536,0.8285411375227572,0.010749861735543107
DTD,knn,3,siglip_base,dinov2 + eva02_base + siglip_base,2304,0.8307503132882819,0.00959545393534347
DTD,rf,1,eva02_base,eva02_base,768,0.7613388912688466,0.008386237461612914
DTD,rf,2,dinov2,eva02_base + dinov2,1536,0.7828979730593073,0.008856101073355186
DTD,rf,3,siglip_base,eva02_base + dinov2 + siglip_base,2304,0.7865001876845904,0.012917729231377979
DTD,resmlp,1,siglip_base,siglip_base,768,0.8399759170673878,0.0067709406400475805
DTD,resmlp,2,dinov2_large,siglip_base + dinov2_large,1792,0.8620311333500457,0.009670603441081293
DTD,resmlp,3,eva02_base,siglip_base + dinov2_large + eva02_base,2560,0.8710356461693737,0.006099731883825154
DTD,resmlp,4,vit_b16,siglip_base + dinov2_large + eva02_base + vit_b16,3328,0.8710496873950078,0.0076607010761436285
