dataset,clf,step,selected_extractor,selected_subset,dim,mean_f1,std_f1
FMD,svm,1,siglip_base,siglip_base,768,0.9660094494895523,0.008043271935731646
FMD,svm,2,dinov2_large,siglip_base + dinov2_large,1792,0.9830088260049749,0.005143033437754343
FMD,svm,3,densenet121,siglip_base + dinov2_large + densenet121,2816,0.981984971810389,0.007463303686950202
FMD,knn,1,eva02_base,eva02_base,768,0.9185392347531642,0.014972271202198595
FMD,knn,2,dinov2_large,eva02_base + dinov2_large,1792,0.9266530685272768,0.01649058313179877
FMD,knn,3,mae_base,eva02_base + dinov2_large + mae_base,2560,0.9285885340380176,0.02031235394285024
FMD,rf,1,siglip_base,siglip_base,768,0.8977120565649092,0.014623161742172375
FMD,rf,2,dinov2,siglip_base + dinov2,1536,0.9023888300684575,0.009099560395903428
FMD,resmlp,1,siglip_base,siglip_base,768,0.9690917706771366,0.00847934849492859
FMD,resmlp,2,dinov2,siglip_base + dinov2,1536,0.9800124984130119,0.012265562818405316
FMD,resmlp,3,dinov2_large,siglip_base + dinov2 + dinov2_large,2560,0.9809541301659401,0.009722670666524989
