dataset,clf,step,selected_extractor,selected_subset,dim,mean_f1,std_f1
Soil,svm,1,eva02_base,eva02_base,768,0.8479394546782325,0.04583432129115731
Soil,svm,2,efficientnet_b0,eva02_base + efficientnet_b0,2048,0.8894329756384982,0.0393063692150002
Soil,svm,3,dinov2_small,eva02_base + efficientnet_b0 + dinov2_small,2432,0.9026882321579233,0.02927572541772256
Soil,svm,4,dinov2_large,eva02_base + efficientnet_b0 + dinov2_small + dinov2_large,3456,0.9125658522094444,0.02145551790479249
Soil,svm,5,glcm,eva02_base + efficientnet_b0 + dinov2_small + dinov2_large + glcm,3474,0.9131967655240159,0.02227332436609287
Soil,knn,1,mae_base,mae_base,768,0.8145653662611965,0.027624117295096465
Soil,knn,2,siglip_base,mae_base + siglip_base,1536,0.8317438039809986,0.019479283749324304
Soil,knn,3,efficientnet_b0,mae_base + siglip_base + efficientnet_b0,2816,0.8504491104226867,0.013375027904421813
Soil,knn,4,gabor,mae_base + siglip_base + efficientnet_b0 + gabor,2864,0.8505022661845876,0.013495329947784912
Soil,rf,1,eva02_base,eva02_base,768,0.8040224042768809,0.040110709108230676
Soil,rf,2,densenet121,eva02_base + densenet121,1792,0.8015748962268973,0.03229705414903738
Soil,resmlp,1,siglip_base,siglip_base,768,0.8792258421091967,0.00991466848350813
Soil,resmlp,2,mae_base,siglip_base + mae_base,1536,0.8928908125805772,0.028824083428354214
Soil,resmlp,3,glcm,siglip_base + mae_base + glcm,1554,0.8981665961594381,0.027475314850526907
Soil,resmlp,4,drlbp,siglip_base + mae_base + glcm + drlbp,1634,0.8934091290954838,0.022139850628876516
