dataset,clf,step,selected_extractor,selected_subset,dim,mean_f1,std_f1
VisTex,svm,1,dinov2,dinov2,768,0.7304820131135921,0.0633311662995524
VisTex,svm,2,convnext_v2_t,dinov2 + convnext_v2_t,1536,0.9002615334632879,0.038872523200058635
VisTex,svm,3,drlbp,dinov2 + convnext_v2_t + drlbp,1616,0.9024837556855101,0.03641373465750524
VisTex,knn,1,dinov2,dinov2,768,0.7343150932887775,0.054701909508163615
VisTex,knn,2,hog,dinov2 + hog,2532,0.7272816764132554,0.08305570966611679
VisTex,rf,1,siglip_base,siglip_base,768,0.7745896222036573,0.06311630475325733
VisTex,rf,2,lbp,siglip_base + lbp,822,0.7748240128941882,0.08182724061240473
VisTex,resmlp,1,siglip_base,siglip_base,768,0.9024193817878029,0.062331907385000655
VisTex,resmlp,2,glcm,siglip_base + glcm,786,0.9237844611528822,0.05058602011700777
VisTex,resmlp,3,convnext_v2_t,siglip_base + glcm + convnext_v2_t,1554,0.9252659426343637,0.04383952860947629
