dataset,clf,best_step,best_subset,best_dim,best_mean_f1,best_std_f1
DTD,svm,4,dinov2 + eva02_base + dinov2_large + drlbp,2640,0.8739802686170604,0.0082642563961144
DTD,knn,3,dinov2 + eva02_base + siglip_base,2304,0.8307503132882819,0.0095954539353434
DTD,rf,3,eva02_base + dinov2 + siglip_base,2304,0.7865001876845904,0.0129177292313779
DTD,resmlp,4,siglip_base + dinov2_large + eva02_base + vit_b16,3328,0.8710496873950078,0.0076607010761436
FMD,svm,2,siglip_base + dinov2_large,1792,0.9830088260049747,0.0051430334377543
FMD,knn,3,eva02_base + dinov2_large + mae_base,2560,0.9285885340380176,0.0203123539428502
FMD,rf,2,siglip_base + dinov2,1536,0.9023888300684576,0.0090995603959034
FMD,resmlp,3,siglip_base + dinov2 + dinov2_large,2560,0.98095413016594,0.0097226706665249
CUReT,svm,3,dinov2_large + swin_t + resnet50,3840,0.9998359630506772,0.0003280738986457
CUReT,knn,3,siglip_base + densenet121 + dinov2_large,2816,0.9869178240015366,0.002239595927482
CUReT,rf,3,densenet121 + dinov2_large + dinov2_small,2432,0.983808188805656,0.0031602675809486
CUReT,resmlp,2,dinov2_large + swin_t,1792,0.9998359630506772,0.0003280738986457
Soil,svm,5,eva02_base + efficientnet_b0 + dinov2_small + dinov2_large + glcm,3474,0.913196765524016,0.0222733243660928
Soil,knn,4,mae_base + siglip_base + efficientnet_b0 + gabor,2864,0.8505022661845876,0.0134953299477849
Soil,rf,1,eva02_base,768,0.8040224042768809,0.0401107091082306
Soil,resmlp,3,siglip_base + mae_base + glcm,1554,0.8981665961594381,0.0274753148505269
VisTex,svm,3,dinov2 + convnext_v2_t + drlbp,1616,0.90248375568551,0.0364137346575052
VisTex,knn,1,dinov2,768,0.7343150932887775,0.0547019095081636
VisTex,rf,2,siglip_base + lbp,822,0.7748240128941882,0.0818272406124047
VisTex,resmlp,3,siglip_base + glcm + convnext_v2_t,1554,0.9252659426343636,0.0438395286094762
