dataset,clf,k1_f1,kN_f1,delta
FMD,svm,0.198025039196208,0.9400518463327072,0.7420268071364993
FMD,knn,0.2459982946560048,0.8766266919656621,0.6306283973096574
FMD,rf,0.3183169461951649,0.8793799180595793,0.5610629718644145
HVD_glaucoma,svm,0.4197891406068171,0.776757054338011,0.3569679137311939
HVD_glaucoma,knn,0.554152657407536,0.7206583734330566,0.16650571602552056
HVD_glaucoma,rf,0.5834963437479014,0.7070246806130143,0.12352833686511289
KTH-TIPS2,svm,0.4877252216252635,0.9997805517273288,0.5120553301020654
KTH-TIPS2,knn,0.8822630036704855,0.9997805517273288,0.11751754805684334
KTH-TIPS2,rf,0.922858397898494,0.9993401703844498,0.07648177248595578
ocular_toxoplasmosis,svm,0.2088888888888889,0.847704972194661,0.6388160833057721
ocular_toxoplasmosis,knn,0.6288264077642916,0.7850915192644957,0.15626511150020417
ocular_toxoplasmosis,rf,0.7094403714352209,0.797354240409796,0.0879138689745751
DTD,svm,0.1013831547305961,0.8442790376517305,0.7428958829211344
DTD,knn,0.25458927462799,0.7902881824533521,0.535698907825362
DTD,rf,0.3255628803805238,0.7856227764325754,0.4600598960520516
