dataset,subset,n_extractors,dim,clf,f1,std_f1,acc,std_acc,time_s
DTD,gfs_subset,4,3858,svm_linear,0.8682765980317141,0.005884612229283277,0.8687943262411348,0.005464906031000867,63.8
DTD,gfs_subset,4,3858,mlp_256,0.8636838968338724,0.0034418746430867732,0.8643617021276595,0.003121776039301249,117.8
DTD,gfs_subset,4,3858,mlp_512,0.8602647438505727,0.0030985483081331896,0.8615248226950355,0.002338813113168978,214.1
DTD,full_concat,13,9772,svm_linear,0.8603358295968988,0.006930565989048188,0.8604609929078014,0.007038806113928777,192.7
DTD,full_concat,13,9772,mlp_256,0.8550073358754396,0.007058807085478705,0.8562056737588651,0.0070788882190344305,325.6
DTD,full_concat,13,9772,mlp_512,0.8563541288431393,0.0072363257766091755,0.8574468085106381,0.007123159371134968,1677.2
DTD,single_best,1,1024,svm_linear,0.8409856671651539,0.0025321091290283837,0.8414893617021276,0.002469572389571668,18.9
DTD,single_best,1,1024,mlp_256,0.843067208027195,0.005516760045291052,0.8439716312056736,0.00537792584684509,60.4
DTD,single_best,1,1024,mlp_512,0.8410206395385081,0.0035993134753758006,0.8418439716312056,0.003345383380161911,75.2
FMD,gfs_subset,2,1792,svm_linear,0.9730245714569087,0.011612040267350117,0.9729999999999999,0.011661903789690611,1.2
FMD,gfs_subset,2,1792,mlp_256,0.9537797824229146,0.018305133615257606,0.954,0.01827566688249705,7.8
FMD,gfs_subset,2,1792,mlp_512,0.9496271462378084,0.02635860038274072,0.95,0.026076809620810586,13.7
FMD,full_concat,13,9772,svm_linear,0.9520941378563853,0.010177659579778271,0.952,0.009797958971132722,9.3
FMD,full_concat,13,9772,mlp_256,0.9370836763722394,0.007887398357132602,0.9369999999999999,0.007483314773547842,39.8
FMD,full_concat,13,9772,mlp_512,0.9320300807016505,0.018235667646860184,0.932,0.018330302779823324,197.5
FMD,single_best,1,1024,svm_linear,0.9499907276217691,0.0083922441424076,0.95,0.008366600265340762,0.7
FMD,single_best,1,1024,mlp_256,0.9359267716515232,0.012189931176131683,0.9359999999999999,0.012409673645990818,2.4
FMD,single_best,1,1024,mlp_512,0.9450203448833774,0.009609706058838513,0.945,0.009999999999999976,4.4
KTH-TIPS2,gfs_subset,3,2560,svm_linear,0.9997805517273288,0.0004388965453422156,0.9997828447339849,0.0004343105320304019,4.0
KTH-TIPS2,gfs_subset,3,2560,mlp_256,0.9989020994024624,0.0009837432061453185,0.9989149302488807,0.0009706215344388103,14.4
KTH-TIPS2,gfs_subset,3,2560,mlp_512,0.9986719405855953,0.0008211333718890106,0.9986977749828654,0.0008120804027004658,27.9
KTH-TIPS2,full_concat,13,9772,svm_linear,0.9997805517273288,0.0004388965453422156,0.9997828447339849,0.0004343105320304019,30.9
KTH-TIPS2,full_concat,13,9772,mlp_256,0.9980175477596255,0.0012977064670698054,0.9980465447111388,0.0012656570345849815,98.4
KTH-TIPS2,full_concat,13,9772,mlp_512,0.9988926542567969,0.0009927511152644994,0.9989151657751997,0.0009700946816104459,590.6
KTH-TIPS2,single_best,1,1024,svm_linear,0.9988883387789805,0.0006858247541744163,0.9989149302488807,0.0006859606894968718,1.4
KTH-TIPS2,single_best,1,1024,mlp_256,0.9982330298822474,0.0014786044352741745,0.9982641710297917,0.001471012994082181,10.1
KTH-TIPS2,single_best,1,1024,mlp_512,0.998008611902953,0.0010635175855787703,0.9980467802374576,0.001062878270115544,17.5
HVD_glaucoma,gfs_subset,7,4802,svm_linear,0.7827385858483389,0.029369983196745362,0.833570798133905,0.02491889820100664,5.0
HVD_glaucoma,gfs_subset,7,4802,mlp_256,0.7598819528316066,0.023872790832830493,0.8180263102593199,0.02004232444375806,29.9
HVD_glaucoma,gfs_subset,7,4802,mlp_512,0.7667672449900604,0.015977068072344426,0.8219013995713025,0.008237845635295442,53.7
HVD_glaucoma,full_concat,13,9772,svm_linear,0.7760261489781933,0.03231446376561571,0.8283865002311603,0.029852326184371624,13.8
HVD_glaucoma,full_concat,13,9772,mlp_256,0.7669251991451299,0.029101243525558807,0.8238620602698272,0.024631494805854717,68.1
HVD_glaucoma,full_concat,13,9772,mlp_512,0.7541892401575293,0.026388924226710925,0.8212583532971884,0.021785261401815085,426.6
HVD_glaucoma,single_best,1,1024,svm_linear,0.5998707449977024,0.005621581634063764,0.7545349472533939,0.0074444667738146255,0.9
HVD_glaucoma,single_best,1,1024,mlp_256,0.7139483679122068,0.022836741176416743,0.7901609717143698,0.02075769348227101,11.2
HVD_glaucoma,single_best,1,1024,mlp_512,0.6944248793777096,0.011234830393240126,0.7797986802841171,0.008028159741191393,11.9
ocular_toxoplasmosis,gfs_subset,4,3456,svm_linear,0.8420029400524756,0.02471581670785798,0.8543344108139876,0.023139102177261586,0.3
ocular_toxoplasmosis,gfs_subset,4,3456,mlp_256,0.8120613299327424,0.029386084930589966,0.82765207170144,0.02471609110646096,4.0
ocular_toxoplasmosis,gfs_subset,4,3456,mlp_512,0.7925577128533823,0.04680280606843497,0.8081104907434616,0.04364039051693857,6.6
ocular_toxoplasmosis,full_concat,13,9772,svm_linear,0.8400150904696915,0.03296090733440002,0.8519541580957977,0.02799416957173227,0.9
ocular_toxoplasmosis,full_concat,13,9772,mlp_256,0.8089007243560535,0.06210064890889634,0.8228327945930062,0.05245856533559644,25.6
ocular_toxoplasmosis,full_concat,13,9772,mlp_512,0.8149610431776614,0.044241675944605936,0.82765207170144,0.04088646003633932,147.6
ocular_toxoplasmosis,single_best,1,1024,svm_linear,0.6988457256064727,0.0327873749044461,0.7546870408463121,0.03138602636884569,0.1
ocular_toxoplasmosis,single_best,1,1024,mlp_256,0.7815769650806391,0.04275557435302273,0.8082280340875698,0.030345112512353424,3.8
ocular_toxoplasmosis,single_best,1,1024,mlp_512,0.7924581970386624,0.057063480784027294,0.8080811049074346,0.04954755215070702,4.9
