dataset,clf,pca,f1,std_f1,acc,dim,time_s
DTD,svm,0,0.8442790376517305,0.008886312842988284,0.8445035460992909,8748,158.0
DTD,svm,100,0.8377180004160488,0.009393002756203831,0.8377659574468087,1200,123.6
DTD,svm,200,0.8437000984163235,0.009461319070748871,0.8436170212765959,2400,198.7
DTD,svm,500,0.8452883612994311,0.008240560097238192,0.8452127659574469,6000,159.6
FMD,svm,0,0.9400518463327072,0.015557158824553309,0.9400000000000001,8748,7.5
FMD,svm,100,0.9354453037607648,0.014744098503018305,0.9349999999999999,1200,20.3
FMD,svm,200,0.9401290562430364,0.013388176869564795,0.9400000000000001,2400,27.2
FMD,svm,500,0.9401525342626635,0.015529609802964972,0.9399999999999998,6000,51.2
KTH-TIPS2,svm,0,0.9997805517273288,0.0004388965453422156,0.9997828447339849,8748,29.5
KTH-TIPS2,svm,100,0.9997805517273288,0.0004388965453422156,0.9997828447339849,1200,41.8
KTH-TIPS2,svm,200,0.9997805517273288,0.0004388965453422156,0.9997828447339849,2400,52.0
KTH-TIPS2,svm,500,0.9997805517273288,0.0004388965453422156,0.9997828447339849,6000,70.3
HVD_glaucoma,svm,0,0.772419286213976,0.028151332890225627,0.8264426511999329,8748,13.8
HVD_glaucoma,svm,100,0.7719516670339143,0.01922038182707006,0.8257933005505821,1200,30.4
HVD_glaucoma,svm,200,0.773952840810186,0.02238846872130034,0.8270877989324592,2400,34.5
HVD_glaucoma,svm,500,0.772026562384794,0.023612690555325142,0.8257933005505821,6000,60.7
ocular_toxoplasmosis,svm,0,0.847704972194661,0.035578542107431235,0.8592124595944755,8748,0.7
ocular_toxoplasmosis,svm,100,0.830491321280795,0.03205140792995568,0.842198060534822,1200,19.0
ocular_toxoplasmosis,svm,200,0.8422966219442054,0.029114047242253433,0.8543637966500146,2400,27.9
ocular_toxoplasmosis,svm,500,0.847704972194661,0.035578542107431235,0.8592124595944755,6000,15.0
