dataset,classifier,seed,outer_fold,run_mode_gfs,method_gfs,macro_f1_gfs,accuracy_gfs,k_gfs,dimensions_gfs,fit_seconds_gfs,selected_gfs,inner_f1_gfs,run_mode_topk,method_topk,macro_f1_topk,accuracy_topk,k_topk,dimensions_topk,fit_seconds_topk,selected_topk,inner_f1_topk,delta_gfs_topk,dimension_delta
DTD,svm,42,0,full,gfs,0.8806984863760254,0.8819148936170212,5,4352,16.047381061000124,siglip_base+dinov2_large+eva02_base+densenet121+dinov2,0.8636808215533234,full,topk_individual,0.8719645769447979,0.8734042553191489,5,3712,18.90717616999996,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small,0.8203577722539999,0.008733909431227538,640
DTD,svm,42,1,full,gfs,0.8627112503680314,0.8638297872340426,6,4864,13.464776652000182,siglip_base+dinov2_large+eva02_base+dinov2+convnext_v2_t+mae_base,0.8650453091116723,full,topk_individual,0.8661630052982027,0.8675531914893617,6,4480,10.848865450000176,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+convnext_v2_t,0.8104180934163553,-0.003451754930171247,384
DTD,svm,42,2,full,gfs,0.8713991601892999,0.8723404255319149,6,6656,13.10293561599974,siglip_base+dinov2_large+eva02_base+resnet50+efficientnet_b0+dinov2,0.8689741205985442,full,topk_individual,0.872349234898142,0.8734042553191489,6,4480,10.770024189999958,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+convnext_v2_t,0.8115417054389615,-0.0009500747088421191,2176
DTD,svm,42,3,full,gfs,0.8781074965106591,0.8792553191489362,6,4736,11.73359286699997,siglip_base+dinov2_large+eva02_base+densenet121+dinov2_small+mae_base,0.8641434757856765,full,topk_individual,0.8742161644009503,0.875,6,4480,11.012970026999938,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+convnext_v2_t,0.8103166274536499,0.0038913321097088227,256
DTD,svm,42,4,full,gfs,0.8736016973754247,0.875531914893617,5,3858,9.565290835000267,siglip_base+dinov2_large+eva02_base+efficientnet_b0+glcm,0.8660979058601501,full,topk_individual,0.8726014787301294,0.8739361702127659,5,3712,18.277936662,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small,0.8248004409107133,0.0010002186452953143,146
DTD,svm,42,5,full,gfs,0.8696103782207478,0.8702127659574468,6,5394,10.798308536999684,siglip_base+dinov2_large+resnet50+eva02_base+vit_b16+glcm,0.8668402228797102,full,topk_individual,0.8674536486498909,0.8686170212765958,6,4480,10.906004188000225,siglip_base+dinov2+dinov2_large+eva02_base+dinov2_small+convnext_v2_t,0.8129662417397022,0.0021567295708568857,914
DTD,svm,42,6,full,gfs,0.8810232775698907,0.8824468085106383,7,6022,13.83466390400281,siglip_base+dinov2_large+eva02_base+efficientnet_b0+resnet101+lbp+drlbp,0.8631934714474594,full,topk_individual,0.8797972232046596,0.8808510638297873,7,5248,14.7183881750002,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+convnext_v2_t+swin_t,0.7972241405975055,0.001226054365231155,774
DTD,svm,42,7,full,gfs,0.8512089928576037,0.8531914893617021,8,6608,13.82783533700058,dinov2_large+eva02_base+dinov2_small+siglip_base+resnet50+vit_b16+dinov2+drlbp,0.8804389543105136,full,topk_individual,0.8510290701516919,0.8531914893617021,8,7296,18.246095798999704,dinov2_large+siglip_base+dinov2+eva02_base+dinov2_small+convnext_v2_t+swin_t+resnet50,0.8020135820039747,0.000179922705911717,-688
DTD,svm,42,8,full,gfs,0.8643892000485681,0.8654255319148936,8,10800,17.02403052000227,siglip_base+dinov2+eva02_base+efficientnet_b0+dinov2_large+resnet50+vgg16+gabor,0.8620613995583112,full,topk_individual,0.8679101096038901,0.8691489361702127,8,7296,17.21796746000018,siglip_base+dinov2+dinov2_large+eva02_base+dinov2_small+convnext_v2_t+swin_t+resnet101,0.7902760368981514,-0.003520909555322027,3504
DTD,svm,42,9,full,gfs,0.8613611623891602,0.8632978723404255,4,2608,11.807330448005814,dinov2_large+siglip_base+eva02_base+gabor,0.8745697247937699,full,topk_individual,0.8604397863904593,0.8622340425531915,4,3328,17.141941245999988,dinov2_large+siglip_base+dinov2+eva02_base,0.8358424220323754,0.0009213759987009018,-720
